review_score,order_status,payment_value,payment_installments,payment_type,price,freight_value,num_items,customer_state,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_state,product_category_name_english,delivery_days,is_late,purchase_dayofweek
4,delivered,46.96,1.0,credit_card,24.9,22.06,1.0,BA,43.0,810.0,1.0,175.0,19.0,7.0,12.0,MG,health_beauty,6.0,0,2
3,delivered,67.72,1.0,credit_card,45.8,21.919999999999998,2.0,SP,50.0,365.0,3.0,300.0,24.0,12.0,12.0,SP,pet_shop,5.0,0,6
5,delivered,103.06,1.0,credit_card,89.99,13.07,1.0,SP,58.0,1923.0,4.0,850.0,25.0,11.0,15.0,SP,computers_accessories,3.0,0,4
2,delivered,188.65,4.0,credit_card,166.99,21.66,1.0,RJ,57.0,1620.0,1.0,2350.0,16.0,40.0,16.0,SP,cool_stuff,63.0,1,1
5,delivered,30.19,1.0,credit_card,21.9,8.29,1.0,SP,43.0,391.0,1.0,150.0,25.0,7.0,16.0,SP,electronics,2.0,0,2
3,delivered,170.03,1.0,credit_card,153.2,16.83,1.0,MG,41.0,565.0,1.0,450.0,16.0,12.0,13.0,SP,baby,9.0,0,1
4,delivered,171.53,4.0,credit_card,149.99,21.54,1.0,MG,54.0,1150.0,1.0,1700.0,33.0,12.0,33.0,SP,housewares,21.0,0,2
5,delivered,312.78,4.0,credit_card,266.67,46.11,3.0,MG,47.0,219.0,1.0,200.0,23.0,11.0,15.0,SP,computers_accessories,17.0,0,1
5,delivered,65.24,2.0,credit_card,51.67,13.57,1.0,RJ,60.0,1064.0,2.0,200.0,16.0,8.0,11.0,RJ,health_beauty,4.0,0,2
5,delivered,172.52,1.0,boleto,159.9,12.62,1.0,SP,33.0,523.0,3.0,584.0,16.0,11.0,13.0,SP,watches_gifts,10.0,0,0
5,delivered,79.56,1.0,credit_card,59.9,19.66,1.0,BA,60.0,651.0,5.0,4400.0,78.0,4.0,47.0,SP,auto,9.0,0,1
5,delivered,45.09,4.0,credit_card,29.99,15.1,1.0,MG,53.0,428.0,1.0,100.0,19.0,3.0,11.0,SP,telephony,7.0,0,2
4,delivered,195.13,1.0,credit_card,158.7,36.43,1.0,ES,53.0,3734.0,5.0,538.0,23.0,12.0,34.0,GO,health_beauty,13.0,0,2
5,delivered,179.87,1.0,credit_card,139.9,39.97,1.0,BA,56.0,1184.0,3.0,5700.0,20.0,15.0,13.0,SP,electronics,4.0,0,6
5,delivered,80.33,8.0,credit_card,65.0,15.33,1.0,DF,54.0,221.0,7.0,150.0,16.0,2.0,11.0,SP,watches_gifts,18.0,0,5
1,delivered,188.4,4.0,credit_card,159.9,28.5,1.0,RJ,48.0,729.0,1.0,3400.0,20.0,30.0,30.0,PR,bed_bath_table,18.0,0,4
5,delivered,61.85,1.0,boleto,50.0,11.85,1.0,SP,37.0,558.0,1.0,100.0,17.0,3.0,12.0,SP,fashion_bags_accessories,6.0,0,3
5,delivered,76.08,1.0,voucher,59.9,16.18,1.0,SP,37.0,1266.0,3.0,700.0,21.0,10.0,15.0,SC,baby,11.0,0,4
1,delivered,154.67,6.0,credit_card,137.0,17.67,1.0,RS,59.0,2852.0,2.0,950.0,40.0,20.0,12.0,RJ,watches_gifts,25.0,1,4
5,delivered,92.86,9.0,credit_card,85.0,7.86,1.0,SP,51.0,950.0,1.0,300.0,16.0,19.0,14.0,SP,perfumery,10.0,0,1
4,delivered,56.96,1.0,credit_card,34.9,22.06,1.0,BA,52.0,460.0,2.0,300.0,19.0,12.0,16.0,SP,sports_leisure,19.0,0,4
5,delivered,122.25,1.0,boleto,86.69999999999999,35.55,3.0,SP,48.0,417.0,1.0,266.0,28.0,5.0,16.0,SP,bed_bath_table,14.0,0,0
5,delivered,58.34,1.0,credit_card,41.0,17.34,1.0,SP,54.0,1581.0,2.0,5450.0,30.0,30.0,30.0,SP,pet_shop,11.0,0,4
5,delivered,162.48,1.0,boleto,149.0,13.48,1.0,SP,42.0,458.0,4.0,300.0,16.0,4.0,20.0,SP,computers_accessories,8.0,0,1
5,delivered,752.21,4.0,credit_card,682.98,69.23,1.0,PE,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,SP,perfumery,11.0,0,5
1,delivered,296.89,2.0,credit_card,203.0,93.88,3.0,PI,47.0,1343.0,1.0,1100.0,45.0,8.0,35.0,SP,bed_bath_table,38.0,1,3
1,delivered,296.89,2.0,credit_card,203.0,93.88,3.0,PI,30.0,1328.0,1.0,1800.0,55.0,10.0,35.0,SP,bed_bath_table,38.0,1,3
2,delivered,67.23,1.0,voucher,49.0,18.23,1.0,RJ,50.0,578.0,3.0,250.0,16.0,2.0,20.0,SP,watches_gifts,18.0,0,1
1,delivered,298.19,8.0,credit_card,278.0,20.19,1.0,RJ,60.0,262.0,1.0,987.0,25.0,25.0,25.0,DF,baby,45.0,1,4
5,delivered,65.71,2.0,credit_card,56.99,8.72,1.0,SP,54.0,1536.0,2.0,250.0,20.0,8.0,21.0,SP,perfumery,7.0,0,0
5,delivered,66.05,6.0,credit_card,54.9,11.15,1.0,SP,45.0,2126.0,1.0,1700.0,30.0,23.0,11.0,SP,bed_bath_table,2.0,0,6
5,delivered,116.98,5.0,credit_card,104.0,12.98,1.0,SC,20.0,873.0,3.0,400.0,18.0,9.0,28.0,SC,health_beauty,11.0,0,0
4,delivered,112.92,1.0,boleto,95.0,17.92,1.0,SP,58.0,754.0,6.0,1450.0,40.0,20.0,30.0,MG,pet_shop,25.0,1,4
5,delivered,243.62,1.0,boleto,229.0,14.62,1.0,SP,42.0,236.0,1.0,342.0,18.0,13.0,15.0,SP,watches_gifts,8.0,0,1
5,delivered,27.6,2.0,credit_card,15.75,11.85,1.0,SP,51.0,951.0,1.0,178.0,18.0,11.0,17.0,SP,health_beauty,7.0,0,6
5,delivered,111.91,8.0,credit_card,94.0,17.91,1.0,DF,55.0,782.0,1.0,1650.0,31.0,26.0,29.0,SP,health_beauty,8.0,0,2
5,delivered,67.23,1.0,boleto,49.0,18.23,1.0,MG,45.0,293.0,1.0,250.0,19.0,8.0,11.0,SP,housewares,18.0,0,3
5,delivered,59.68,1.0,boleto,46.99,12.69,1.0,SP,63.0,517.0,2.0,900.0,80.0,10.0,60.0,SP,furniture_decor,9.0,0,0
1,delivered,81.0,1.0,credit_card,50.8,30.200000000000003,2.0,SC,43.0,889.0,2.0,113.0,16.0,10.0,12.0,PR,electronics,17.0,0,2
1,delivered,81.0,1.0,credit_card,50.8,30.200000000000003,2.0,SC,43.0,889.0,2.0,113.0,16.0,10.0,12.0,SP,electronics,17.0,0,2
1,delivered,81.0,1.0,credit_card,50.8,30.200000000000003,2.0,SC,43.0,391.0,1.0,150.0,25.0,7.0,16.0,PR,electronics,17.0,0,2
1,delivered,81.0,1.0,credit_card,50.8,30.200000000000003,2.0,SC,43.0,391.0,1.0,150.0,25.0,7.0,16.0,SP,electronics,17.0,0,2
5,delivered,2267.18,4.0,credit_card,2199.99,67.19,1.0,SP,57.0,1933.0,4.0,15300.0,75.0,22.0,44.0,SP,home_appliances_2,1.0,0,3
5,delivered,237.9,1.0,credit_card,209.99,27.91,1.0,PE,52.0,516.0,1.0,4650.0,37.0,20.0,34.0,SP,cool_stuff,36.0,1,3
5,delivered,596.27,5.0,credit_card,559.0,37.27,1.0,SP,44.0,982.0,3.0,17600.0,49.0,49.0,23.0,SC,auto,14.0,0,3
5,delivered,433.05,8.0,credit_card,414.0,19.05,1.0,SP,64.0,1135.0,1.0,4600.0,34.0,9.0,34.0,SP,health_beauty,3.0,0,3
3,delivered,54.22,2.0,credit_card,34.9,19.32,1.0,ES,33.0,1209.0,1.0,700.0,16.0,17.0,11.0,SP,health_beauty,9.0,0,0
3,delivered,67.42,1.0,boleto,49.5,17.92,1.0,BA,55.0,132.0,1.0,5600.0,25.0,37.0,36.0,SP,cool_stuff,21.0,0,2
4,delivered,116.95,10.0,credit_card,103.9,13.05,1.0,RJ,60.0,390.0,7.0,1250.0,26.0,10.0,18.0,SP,electronics,16.0,1,6
5,delivered,92.30000000000001,1.0,credit_card,55.0,37.3,1.0,PE,57.0,266.0,3.0,200.0,16.0,2.0,20.0,SP,watches_gifts,12.0,0,2
5,delivered,111.85,3.0,credit_card,99.0,12.85,1.0,SP,14.0,1366.0,2.0,1150.0,27.0,22.0,39.0,PR,health_beauty,7.0,0,0
5,delivered,336.86,1.0,credit_card,209.9,126.96000000000001,3.0,RS,27.0,271.0,2.0,600.0,22.0,4.0,13.0,SP,garden_tools,7.0,0,2
5,delivered,336.86,1.0,credit_card,209.9,126.96000000000001,3.0,RS,63.0,1285.0,11.0,10300.0,70.0,25.0,55.0,SP,furniture_decor,7.0,0,2
5,delivered,336.86,1.0,credit_card,209.9,126.96000000000001,3.0,RS,63.0,1285.0,11.0,9000.0,70.0,25.0,55.0,SP,furniture_decor,7.0,0,2
5,delivered,168.73,8.0,credit_card,149.8,18.93,1.0,MG,57.0,452.0,1.0,200.0,16.0,11.0,20.0,SP,watches_gifts,7.0,0,1
5,delivered,63.269999999999996,1.0,credit_card,49.9,13.37,1.0,SP,59.0,341.0,2.0,1750.0,37.0,22.0,40.0,SP,garden_tools,12.0,0,2
4,delivered,159.1,1.0,voucher,117.8,41.3,1.0,SP,58.0,1204.0,1.0,11489.0,42.0,67.0,42.0,SP,housewares,2.0,0,6
5,delivered,133.58,8.0,credit_card,119.0,14.58,1.0,GO,26.0,157.0,1.0,195.0,35.0,10.0,13.0,SP,perfumery,20.0,0,1
5,delivered,49.49,1.0,credit_card,35.0,14.49,1.0,PR,49.0,829.0,1.0,850.0,20.0,25.0,20.0,SP,furniture_decor,16.0,0,2
5,delivered,112.74,3.0,credit_card,79.8,32.94,2.0,PR,37.0,1096.0,1.0,1050.0,17.0,14.0,16.0,RS,health_beauty,8.0,0,2
5,delivered,173.85,7.0,credit_card,157.99,15.86,1.0,RJ,35.0,591.0,3.0,444.0,20.0,14.0,16.0,SP,watches_gifts,12.0,0,1
3,delivered,85.68,8.0,credit_card,58.32,27.36,1.0,BA,60.0,1088.0,8.0,1300.0,19.0,12.0,12.0,MG,food_drink,8.0,0,2
5,delivered,199.89,10.0,credit_card,129.0,70.89,1.0,PA,42.0,540.0,4.0,9950.0,31.0,61.0,31.0,MG,housewares,23.0,0,5
4,delivered,79.28,1.0,boleto,36.9,42.38,1.0,AC,39.0,750.0,1.0,275.0,18.0,4.0,18.0,SC,musical_instruments,19.0,0,3
3,delivered,55.18,1.0,boleto,24.98,30.2,2.0,SP,40.0,207.0,4.0,150.0,16.0,2.0,11.0,MG,garden_tools,13.0,0,3
5,delivered,115.23,1.0,credit_card,100.0,15.23,2.0,SP,60.0,160.0,3.0,250.0,16.0,2.0,20.0,SP,watches_gifts,4.0,0,3
5,delivered,115.23,1.0,credit_card,100.0,15.23,2.0,SP,51.0,789.0,2.0,200.0,16.0,2.0,11.0,SP,watches_gifts,4.0,0,3
3,delivered,48.9,2.0,credit_card,33.8,15.1,1.0,PR,59.0,555.0,1.0,1075.0,17.0,13.0,15.0,SP,health_beauty,16.0,0,6
1,delivered,236.07,3.0,credit_card,169.0,67.07,1.0,RS,57.0,789.0,2.0,17350.0,40.0,50.0,40.0,SP,furniture_decor,11.0,0,2
5,delivered,175.32,1.0,boleto,126.99,48.33,1.0,PI,44.0,586.0,3.0,3250.0,32.0,14.0,22.0,SP,garden_tools,19.0,0,6
4,delivered,63.39,1.0,boleto,56.0,7.39,1.0,SP,60.0,504.0,1.0,300.0,16.0,2.0,20.0,SP,watches_gifts,4.0,0,5
5,delivered,139.75,1.0,credit_card,118.5,21.25,1.0,SP,59.0,241.0,6.0,7550.0,60.0,20.0,29.0,SP,stationery,10.0,0,4
5,delivered,94.76,4.0,credit_card,69.8,24.96,2.0,SP,59.0,459.0,1.0,3700.0,32.0,22.0,46.0,SP,housewares,10.0,0,5
5,delivered,196.12,2.0,credit_card,169.9,26.22,1.0,MA,55.0,2290.0,5.0,250.0,16.0,9.0,11.0,SC,musical_instruments,27.0,0,4
5,delivered,76.32,1.0,boleto,59.0,17.32,1.0,SP,57.0,1571.0,1.0,2150.0,28.0,32.0,11.0,SP,health_beauty,2.0,0,1
4,delivered,245.68,1.0,boleto,229.9,15.78,1.0,SP,38.0,476.0,2.0,414.0,23.0,15.0,18.0,RJ,perfumery,7.0,0,3
5,delivered,90.05,1.0,credit_card,78.0,12.05,1.0,SP,58.0,1692.0,4.0,300.0,18.0,10.0,14.0,SP,health_beauty,4.0,0,5
5,delivered,88.22,3.0,credit_card,75.25,12.97,1.0,SP,49.0,1004.0,2.0,200.0,20.0,10.0,20.0,SP,health_beauty,5.0,0,1
5,delivered,101.38,8.0,credit_card,48.9,52.48,1.0,RO,55.0,1629.0,1.0,600.0,20.0,13.0,13.0,SP,baby,11.0,0,2
3,delivered,103.28,2.0,credit_card,79.8,23.48,2.0,SP,55.0,308.0,2.0,450.0,35.0,7.0,25.0,SP,sports_leisure,11.0,0,4
5,delivered,45.09,1.0,credit_card,29.99,15.1,1.0,GO,60.0,751.0,3.0,150.0,17.0,4.0,12.0,SP,telephony,17.0,0,6
5,delivered,26.38,1.0,credit_card,18.99,7.39,1.0,SP,53.0,80.0,1.0,250.0,32.0,3.0,24.0,SP,books_imported,2.0,0,0
1,delivered,95.52,1.0,credit_card,78.98,16.54,2.0,SP,33.0,1622.0,1.0,125.0,18.0,15.0,17.0,SP,health_beauty,16.0,1,6
5,delivered,155.77,4.0,credit_card,119.8,35.97,1.0,RJ,57.0,1235.0,1.0,4250.0,20.0,20.0,20.0,SP,sports_leisure,13.0,0,3
5,delivered,383.03,1.0,boleto,330.0,53.03,1.0,MA,60.0,2644.0,6.0,400.0,34.0,4.0,22.0,SP,health_beauty,24.0,1,0
2,delivered,145.58,1.0,credit_card,106.99,38.59,1.0,RS,41.0,1141.0,1.0,8683.0,54.0,64.0,31.0,SP,office_furniture,44.0,0,1
5,delivered,51.5,1.0,credit_card,34.9,16.6,1.0,SP,57.0,701.0,2.0,1100.0,50.0,12.0,12.0,SP,bed_bath_table,14.0,0,2
5,delivered,80.1,1.0,boleto,64.9,15.2,1.0,MG,58.0,272.0,1.0,250.0,24.0,3.0,12.0,SP,furniture_decor,16.0,0,5
5,delivered,94.66,1.0,credit_card,74.9,19.76,1.0,BA,55.0,476.0,1.0,1917.0,46.0,9.0,37.0,SP,bed_bath_table,13.0,0,2
3,delivered,28.93,1.0,boleto,13.7,15.23,1.0,DF,43.0,425.0,1.0,200.0,22.0,11.0,16.0,SP,electronics,11.0,0,3
5,delivered,115.45,1.0,credit_card,99.0,16.45,1.0,SP,47.0,442.0,1.0,250.0,16.0,16.0,16.0,MG,baby,21.0,0,0
5,delivered,136.2,4.0,credit_card,99.99,36.21,1.0,SP,49.0,512.0,1.0,5925.0,51.0,16.0,36.0,SP,bed_bath_table,13.0,0,2
4,delivered,40.09,2.0,credit_card,24.99,15.1,1.0,PR,60.0,792.0,4.0,100.0,17.0,4.0,12.0,SP,telephony,23.0,0,4
4,delivered,138.21,1.0,credit_card,125.0,13.21,1.0,SP,60.0,466.0,7.0,400.0,21.0,7.0,15.0,SP,stationery,12.0,0,3
5,delivered,747.12,10.0,credit_card,729.0,18.12,1.0,SP,39.0,557.0,1.0,1740.0,34.0,41.0,33.0,SP,toys,6.0,0,4
5,delivered,99.11,1.0,credit_card,76.0,23.11,1.0,RS,36.0,383.0,2.0,1100.0,20.0,20.0,20.0,SP,sports_leisure,9.0,0,0
1,delivered,168.83,1.0,debit_card,149.9,18.93,1.0,RJ,57.0,627.0,1.0,1000.0,16.0,10.0,16.0,SP,bed_bath_table,29.0,1,6
5,delivered,277.75,2.0,credit_card,269.0,8.75,1.0,SP,40.0,615.0,1.0,400.0,17.0,11.0,12.0,SP,watches_gifts,3.0,0,5
5,delivered,54.03,5.0,credit_card,34.99,19.04,1.0,PE,60.0,334.0,6.0,150.0,16.0,3.0,13.0,SP,computers_accessories,12.0,0,3
5,delivered,305.16,10.0,credit_card,279.8,25.36,2.0,SP,55.0,270.0,1.0,1550.0,38.0,10.0,38.0,SP,bed_bath_table,6.0,0,0
3,delivered,42.52,1.0,credit_card,24.89,17.63,1.0,BA,57.0,1138.0,3.0,100.0,18.0,12.0,16.0,DF,computers_accessories,8.0,0,5
5,delivered,31.75,1.0,credit_card,19.9,11.85,1.0,SP,58.0,409.0,3.0,100.0,24.0,2.0,17.0,SP,auto,6.0,0,6
5,delivered,99.7,5.0,credit_card,79.9,19.8,1.0,SP,48.0,594.0,1.0,1850.0,24.0,36.0,23.0,DF,health_beauty,8.0,0,6
5,delivered,170.29,10.0,credit_card,154.9,15.39,1.0,SP,48.0,647.0,1.0,1450.0,16.0,25.0,11.0,SP,books_general_interest,3.0,0,6
5,delivered,376.12,6.0,credit_card,338.0,38.12,2.0,PR,59.0,902.0,2.0,6450.0,20.0,20.0,20.0,SP,sports_leisure,8.0,0,2
1,delivered,137.85,1.0,boleto,85.9,51.95,3.0,MG,51.0,693.0,3.0,600.0,20.0,20.0,21.0,SC,cool_stuff,13.0,0,2
1,delivered,137.85,1.0,boleto,85.9,51.95,3.0,MG,51.0,693.0,3.0,600.0,20.0,20.0,21.0,SP,cool_stuff,13.0,0,2
1,delivered,137.85,1.0,boleto,85.9,51.95,3.0,MG,60.0,644.0,1.0,300.0,16.0,16.0,16.0,SC,baby,13.0,0,2
1,delivered,137.85,1.0,boleto,85.9,51.95,3.0,MG,60.0,644.0,1.0,300.0,16.0,16.0,16.0,SP,baby,13.0,0,2
5,delivered,94.66,6.0,credit_card,86.8,7.86,1.0,SP,49.0,214.0,2.0,422.0,18.0,12.0,15.0,SP,cool_stuff,6.0,0,0
5,delivered,77.78,1.0,boleto,70.0,7.78,1.0,SP,39.0,1156.0,1.0,233.0,17.0,12.0,12.0,SP,toys,7.0,0,1
5,delivered,76.66,3.0,credit_card,59.8,16.86,1.0,MT,59.0,1271.0,1.0,240.0,18.0,14.0,16.0,SP,health_beauty,25.0,0,4
1,delivered,129.27,1.0,boleto,83.97,45.3,3.0,PR,59.0,355.0,1.0,200.0,20.0,5.0,30.0,SP,stationery,14.0,0,0
4,delivered,171.22,2.0,credit_card,149.9,21.32,1.0,RJ,48.0,894.0,1.0,533.0,22.0,11.0,20.0,PE,computers_accessories,10.0,0,4
4,delivered,235.05,1.0,boleto,175.79999999999998,59.25,5.0,SP,48.0,2718.0,1.0,400.0,19.0,11.0,12.0,SP,health_beauty,15.0,0,3
1,delivered,123.01,3.0,credit_card,105.0,18.01,1.0,SE,47.0,227.0,1.0,367.0,16.0,15.0,14.0,DF,health_beauty,41.0,1,1
4,delivered,79.14,1.0,credit_card,69.9,9.24,1.0,SP,44.0,860.0,3.0,895.0,24.0,14.0,15.0,SP,small_appliances,6.0,0,4
5,delivered,189.9,8.0,credit_card,179.9,10.0,1.0,SP,58.0,420.0,1.0,200.0,21.0,14.0,15.0,SP,computers_accessories,5.0,0,3
4,delivered,172.87,1.0,credit_card,150.0,22.87,1.0,SP,29.0,1530.0,1.0,5450.0,23.0,24.0,23.0,SP,construction_tools_construction,5.0,0,5
5,delivered,144.99,1.0,boleto,126.99,18.0,1.0,GO,44.0,586.0,3.0,3250.0,32.0,14.0,22.0,SP,garden_tools,12.0,0,2
5,delivered,121.87,1.0,credit_card,109.9,11.97,1.0,SP,53.0,3189.0,6.0,6050.0,40.0,30.0,30.0,SP,sports_leisure,1.0,0,6
2,delivered,86.25,4.0,credit_card,72.0,14.25,1.0,PR,50.0,751.0,1.0,6050.0,30.0,30.0,40.0,SP,housewares,34.0,1,2
5,delivered,538.36,10.0,credit_card,480.0,58.36,4.0,SP,28.0,634.0,2.0,400.0,20.0,5.0,21.0,PR,garden_tools,12.0,0,2
5,delivered,113.97,2.0,credit_card,105.49,8.48,1.0,SP,54.0,2141.0,1.0,200.0,16.0,8.0,12.0,SP,auto,4.0,0,2
3,delivered,420.13,8.0,credit_card,388.0,32.13,1.0,AM,59.0,867.0,3.0,10750.0,38.0,47.0,44.0,SP,baby,6.0,0,5
1,delivered,159.14,1.0,boleto,149.9,9.24,1.0,SP,54.0,790.0,6.0,200.0,17.0,10.0,11.0,SP,sports_leisure,3.0,0,2
5,delivered,363.51,10.0,credit_card,349.9,13.61,1.0,RJ,36.0,210.0,1.0,541.0,21.0,15.0,16.0,RJ,perfumery,7.0,0,4
4,delivered,38.0,3.0,credit_card,22.9,15.1,1.0,MG,50.0,365.0,3.0,800.0,24.0,12.0,12.0,SP,pet_shop,9.0,0,5
3,delivered,185.57,1.0,boleto,159.94,25.63,1.0,SP,33.0,1205.0,1.0,11700.0,36.0,54.0,35.0,SP,office_furniture,13.0,0,6
5,delivered,137.99,3.0,credit_card,119.9,18.09,1.0,RJ,37.0,478.0,4.0,4450.0,34.0,6.0,28.0,MG,furniture_decor,6.0,0,1
5,delivered,114.66,5.0,credit_card,89.8,24.86,2.0,SP,48.0,546.0,1.0,5675.0,25.0,25.0,60.0,SP,housewares,6.0,0,3
3,delivered,22.34,1.0,credit_card,14.95,7.39,1.0,SP,25.0,2021.0,1.0,213.0,21.0,2.0,14.0,SP,books_technical,6.0,1,1
3,delivered,40.43,4.0,credit_card,19.9,15.1,1.0,GO,31.0,1440.0,1.0,100.0,18.0,6.0,11.0,SP,telephony,13.0,0,2
5,delivered,43.22,1.0,credit_card,27.99,15.23,1.0,MG,60.0,776.0,6.0,300.0,17.0,4.0,12.0,SP,telephony,13.0,0,2
5,delivered,133.48,1.0,boleto,98.99,34.49,1.0,RS,47.0,1249.0,1.0,400.0,27.0,6.0,25.0,GO,sports_leisure,10.0,0,0
5,delivered,311.1,2.0,credit_card,174.0,137.10000000000002,6.0,PB,43.0,188.0,2.0,673.0,18.0,13.0,15.0,SP,construction_tools_safety,24.0,0,6
5,delivered,105.28,4.0,credit_card,89.9,15.38,1.0,MG,54.0,245.0,1.0,1383.0,50.0,10.0,40.0,SP,bed_bath_table,5.0,0,5
4,delivered,96.02,1.0,voucher,75.0,21.02,1.0,SC,60.0,446.0,5.0,4900.0,36.0,22.0,36.0,SP,housewares,6.0,0,0
1,delivered,371.88,10.0,credit_card,340.0,31.88,2.0,RJ,42.0,261.0,1.0,100.0,21.0,9.0,14.0,SP,fashion_bags_accessories,5.0,0,1
1,delivered,371.88,10.0,credit_card,340.0,31.88,2.0,RJ,55.0,295.0,1.0,150.0,21.0,9.0,14.0,SP,fashion_bags_accessories,5.0,0,1
5,delivered,163.95,3.0,credit_card,150.0,13.95,1.0,SP,53.0,616.0,1.0,4000.0,30.0,35.0,30.0,SP,furniture_decor,6.0,0,2
3,delivered,36.78,1.0,credit_card,29.0,7.78,1.0,SP,60.0,261.0,3.0,200.0,16.0,2.0,11.0,SP,watches_gifts,4.0,0,4
4,delivered,51.5,1.0,boleto,34.9,16.6,1.0,SP,57.0,701.0,2.0,1100.0,50.0,12.0,12.0,SP,bed_bath_table,21.0,0,2
1,delivered,274.45,5.0,credit_card,239.89000000000001,34.56,2.0,SP,57.0,272.0,1.0,2500.0,40.0,10.0,30.0,PR,furniture_decor,3.0,0,0
1,delivered,274.45,5.0,credit_card,239.89000000000001,34.56,2.0,SP,57.0,272.0,1.0,2500.0,40.0,10.0,30.0,SP,furniture_decor,3.0,0,0
1,delivered,274.45,5.0,credit_card,239.89000000000001,34.56,2.0,SP,48.0,1232.0,1.0,1700.0,65.0,6.0,50.0,PR,art,3.0,0,0
1,delivered,274.45,5.0,credit_card,239.89000000000001,34.56,2.0,SP,48.0,1232.0,1.0,1700.0,65.0,6.0,50.0,SP,art,3.0,0,0
1,delivered,243.45,1.0,debit_card,224.0,19.45,1.0,GO,59.0,582.0,1.0,263.0,17.0,12.0,13.0,SP,watches_gifts,21.0,0,1
5,delivered,173.27,2.0,credit_card,149.9,23.37,1.0,SP,48.0,894.0,1.0,533.0,22.0,11.0,20.0,PE,computers_accessories,13.0,0,1
5,delivered,141.48,1.0,boleto,128.0,13.48,1.0,SP,48.0,687.0,1.0,1225.0,25.0,22.0,22.0,SP,sports_leisure,11.0,0,2
5,delivered,756.49,10.0,credit_card,699.0,57.49,1.0,DF,52.0,1363.0,2.0,4920.0,65.0,11.0,33.0,SP,home_appliances,22.0,1,0
1,delivered,48.3,4.0,credit_card,29.99,18.31,1.0,MG,58.0,678.0,3.0,150.0,17.0,8.0,14.0,SP,telephony,6.0,0,4
5,delivered,395.46,6.0,credit_card,385.0,10.46,1.0,SP,60.0,438.0,2.0,651.0,20.0,15.0,22.0,SP,telephony,8.0,0,3
2,delivered,61.0,2.0,credit_card,45.9,15.1,1.0,RS,39.0,772.0,1.0,150.0,16.0,16.0,11.0,SP,sports_leisure,14.0,0,5
5,delivered,31.38,1.0,boleto,18.9,12.48,1.0,SP,49.0,190.0,1.0,133.0,18.0,11.0,14.0,PR,electronics,8.0,0,1
