order_id,payment_sequential,payment_installments,payment_value,payment_type_boleto,payment_type_credit_card,payment_type_debit_card,payment_type_not_defined,payment_type_voucher
ORD_76970,1,1,37.61,False,True,False,False,False
ORD_15321,1,1,13.8,False,True,False,False,False
ORD_19153,1,1,227.12,False,False,True,False,False
ORD_26541,1,3,34.78,False,True,False,False,False
ORD_27437,1,10,342.56,False,True,False,False,False
ORD_24546,1,7,73.34,False,True,False,False,False
ORD_92882,1,4,117.85,False,True,False,False,False
ORD_81006,1,1,48.62,False,True,False,False,False
ORD_19462,1,1,53.99,False,True,False,False,False
ORD_44101,1,1,51.14,False,True,False,False,False
ORD_51350,1,2,121.45,False,True,False,False,False
ORD_33131,1,1,73.34,False,True,False,False,False
ORD_82261,1,10,117.68,False,True,False,False,False
ORD_82969,1,1,56.77,False,True,False,False,False
ORD_9151,1,2,115.59,False,True,False,False,False
ORD_59830,1,6,60.07,False,True,False,False,False
ORD_27457,1,1,27.27,False,True,False,False,False
ORD_4729,1,1,32.15,True,False,False,False,False
ORD_3857,1,3,195.71,False,True,False,False,False
ORD_80259,2,1,43.12,False,False,False,False,True
ORD_54781,1,1,88.49,False,True,False,False,False
ORD_78663,1,3,34.09,False,True,False,False,False
ORD_45712,1,1,40.99,False,True,False,False,False
ORD_65941,1,3,71.99,False,True,False,False,False
ORD_73226,1,1,47.0,True,False,False,False,False
ORD_71777,1,3,81.78,False,True,False,False,False
ORD_4301,1,3,231.45,False,True,False,False,False
ORD_91979,1,7,144.2,False,True,False,False,False
ORD_25502,1,1,35.14,False,False,True,False,False
ORD_50505,1,10,285.79,False,True,False,False,False
ORD_44967,1,2,176.7,False,True,False,False,False
ORD_72940,1,2,27.63,False,True,False,False,False
ORD_11663,1,8,134.56,False,True,False,False,False
ORD_67460,1,4,96.98,False,True,False,False,False
ORD_68480,1,2,110.03,False,True,False,False,False
ORD_77721,1,1,17.78,False,True,False,False,False
ORD_26379,1,1,44.0,False,True,False,False,False
ORD_77147,1,4,110.11,False,True,False,False,False
ORD_2824,4,1,22.49,False,False,False,False,True
ORD_77597,1,4,46.63,False,True,False,False,False
ORD_59703,1,1,52.21,True,False,False,False,False
ORD_19644,1,2,61.77,False,True,False,False,False
ORD_18500,1,1,121.88,True,False,False,False,False
ORD_50393,1,1,75.75,False,True,False,False,False
ORD_16477,1,1,130.22,False,True,False,False,False
ORD_25668,1,3,57.53,False,True,False,False,False
ORD_19701,1,7,76.02,False,True,False,False,False
ORD_51116,1,1,90.17,True,False,False,False,False
ORD_66571,1,1,31.0,False,True,False,False,False
ORD_94166,1,10,106.77,False,True,False,False,False
ORD_24269,1,1,163.25,False,False,False,False,True
ORD_3106,1,1,233.66,True,False,False,False,False
ORD_30046,1,1,163.08,False,True,False,False,False
ORD_76418,1,4,135.93,False,True,False,False,False
ORD_36489,1,1,267.05,False,True,False,False,False
ORD_48769,1,7,186.72,False,True,False,False,False
ORD_52676,2,1,30.0,False,False,False,False,True
ORD_42768,1,4,97.28,False,True,False,False,False
ORD_82226,1,1,48.61,False,True,False,False,False
ORD_47266,1,1,116.7,True,False,False,False,False
ORD_20839,1,1,41.42,False,True,False,False,False
ORD_64982,1,1,42.19,True,False,False,False,False
ORD_64388,1,6,125.53,False,True,False,False,False
ORD_91185,1,5,92.76,False,True,False,False,False
ORD_84991,1,8,348.02,False,True,False,False,False
ORD_58801,1,2,203.3,False,True,False,False,False
ORD_97563,1,3,44.35,False,True,False,False,False
ORD_84670,1,10,116.05,False,True,False,False,False
ORD_69459,1,1,85.14,True,False,False,False,False
ORD_6545,1,4,236.66,False,True,False,False,False
ORD_30381,1,4,220.3,False,True,False,False,False
ORD_93643,1,1,180.55,False,True,False,False,False
ORD_93286,1,1,45.46,True,False,False,False,False
ORD_45366,1,1,26.08,True,False,False,False,False
ORD_59346,1,1,375.74,False,True,False,False,False
ORD_12892,1,5,123.41,False,True,False,False,False
ORD_13065,1,10,379.07,False,True,False,False,False
ORD_37942,1,10,2027.16,False,True,False,False,False
ORD_98703,1,1,45.5,False,True,False,False,False
ORD_66707,1,1,91.17,False,True,False,False,False
ORD_46455,1,1,93.26,True,False,False,False,False
ORD_4005,2,1,30.0,False,False,False,False,True
ORD_58972,1,10,165.96,False,True,False,False,False
ORD_92452,2,1,50.0,False,False,False,False,True
ORD_96701,1,10,1002.73,False,True,False,False,False
ORD_88634,1,1,116.56,True,False,False,False,False
ORD_65807,1,2,240.52,False,True,False,False,False
ORD_3620,1,3,33.13,False,True,False,False,False
ORD_40616,1,1,213.9,False,True,False,False,False
ORD_2783,1,8,362.17,False,True,False,False,False
ORD_31679,1,2,88.72,False,True,False,False,False
ORD_87416,1,2,46.85,False,True,False,False,False
ORD_26895,1,1,68.54,True,False,False,False,False
ORD_36957,1,1,32.62,True,False,False,False,False
ORD_1273,1,8,340.08,False,True,False,False,False
ORD_56971,1,1,82.06,True,False,False,False,False
ORD_35233,1,1,40.95,False,True,False,False,False
ORD_12081,1,3,67.01,False,True,False,False,False
ORD_84705,5,1,20.0,False,False,False,False,True
ORD_52384,2,1,76.9,False,False,False,False,True
ORD_35441,1,4,40.27,False,True,False,False,False
ORD_11244,1,8,242.1,False,True,False,False,False
ORD_82926,1,1,207.24,True,False,False,False,False
ORD_46670,1,2,215.56,False,True,False,False,False
ORD_44782,1,1,39.92,False,True,False,False,False
ORD_91003,1,8,156.09,False,True,False,False,False
ORD_28984,1,2,131.5,False,True,False,False,False
ORD_79410,1,1,137.73,True,False,False,False,False
ORD_4216,1,1,31.75,False,True,False,False,False
ORD_97307,1,8,348.77,False,True,False,False,False
ORD_15288,1,1,12.22,False,True,False,False,False
ORD_58485,1,4,139.87,False,True,False,False,False
ORD_41374,1,12,257.1,False,True,False,False,False
ORD_27075,1,3,269.46,False,True,False,False,False
ORD_8336,1,1,40.0,False,True,False,False,False
ORD_52174,1,10,350.09,False,True,False,False,False
ORD_11937,2,6,134.55,False,True,False,False,False
ORD_76119,1,3,112.73,False,True,False,False,False
ORD_85109,1,1,72.05,True,False,False,False,False
ORD_71821,1,1,0.67,False,True,False,False,False
ORD_84267,1,2,77.77,False,True,False,False,False
ORD_63712,1,2,26.68,False,True,False,False,False
ORD_37745,1,1,371.42,False,True,False,False,False
ORD_10287,1,6,225.71,False,True,False,False,False
ORD_56617,1,3,103.79,False,True,False,False,False
ORD_11427,1,1,65.0,True,False,False,False,False
ORD_88250,2,1,69.8,False,False,False,False,True
ORD_97583,2,1,20.09,False,False,False,False,True
ORD_52254,1,1,125.41,False,True,False,False,False
ORD_90036,1,1,95.99,True,False,False,False,False
ORD_80918,1,2,25.33,False,True,False,False,False
ORD_42075,1,1,52.57,False,True,False,False,False
ORD_60747,1,2,145.58,False,True,False,False,False
ORD_63943,1,3,49.7,False,True,False,False,False
ORD_20462,1,1,47.43,False,True,False,False,False
ORD_55186,1,2,168.57,False,True,False,False,False
ORD_93334,1,1,133.81,False,True,False,False,False
ORD_55011,2,1,1.23,False,False,False,False,True
ORD_64194,1,1,123.82,True,False,False,False,False
ORD_72973,1,3,283.66,False,True,False,False,False
ORD_41171,1,1,89.88,False,True,False,False,False
ORD_65177,1,1,32.38,True,False,False,False,False
ORD_41736,1,1,43.08,False,True,False,False,False
ORD_4059,1,1,254.58,False,True,False,False,False
ORD_319,2,1,48.91,False,False,False,False,True
ORD_14128,1,4,48.22,False,True,False,False,False
ORD_45499,1,6,67.58,False,True,False,False,False
ORD_90101,1,10,311.18,False,True,False,False,False
ORD_1592,1,4,154.14,False,True,False,False,False
ORD_80752,1,2,333.68,False,True,False,False,False
ORD_46326,1,1,404.88,True,False,False,False,False
ORD_25405,1,1,44.77,True,False,False,False,False
ORD_38688,1,1,1302.42,False,False,False,False,True
ORD_22441,1,10,645.8,False,True,False,False,False
ORD_59295,1,1,186.39,False,True,False,False,False
ORD_16290,1,10,208.41,False,True,False,False,False
ORD_29324,1,1,76.39,False,False,True,False,False
ORD_35081,1,2,67.42,False,True,False,False,False
ORD_10231,1,4,232.05,False,True,False,False,False
ORD_75025,1,1,69.33,True,False,False,False,False
ORD_77199,1,3,641.2,False,True,False,False,False
ORD_63372,1,1,41.86,True,False,False,False,False
ORD_40848,1,1,50.0,False,False,False,False,True
ORD_14208,1,1,106.96,False,True,False,False,False
ORD_15994,1,10,2288.31,False,True,False,False,False
ORD_43863,1,1,69.9,True,False,False,False,False
ORD_48992,1,1,88.08,True,False,False,False,False
ORD_53423,1,4,117.39,False,True,False,False,False
ORD_16419,1,1,194.91,False,False,True,False,False
ORD_19296,1,1,68.89,False,False,True,False,False
ORD_11409,1,2,151.51,False,True,False,False,False
ORD_54884,1,1,54.85,False,True,False,False,False
ORD_60068,1,1,103.68,False,True,False,False,False
ORD_82914,1,1,225.63,False,False,True,False,False
ORD_8868,1,1,39.6,True,False,False,False,False
ORD_6068,1,10,159.18,False,True,False,False,False
ORD_57053,1,1,234.43,False,True,False,False,False
ORD_88664,1,1,44.83,True,False,False,False,False
ORD_11344,1,4,205.44,False,True,False,False,False
ORD_36503,1,1,13.55,False,True,False,False,False
ORD_63605,1,1,221.96,False,True,False,False,False
ORD_38527,1,1,52.38,False,True,False,False,False
ORD_89326,1,9,131.47,False,True,False,False,False
ORD_22324,1,2,38.06,False,True,False,False,False
ORD_8830,2,1,35.0,False,False,False,False,True
ORD_10610,1,3,143.65,False,True,False,False,False
ORD_71746,1,3,86.73,False,True,False,False,False
ORD_39904,1,5,118.35,False,True,False,False,False
ORD_58593,1,1,341.58,False,True,False,False,False
ORD_90950,1,2,105.42,False,True,False,False,False
ORD_23093,1,4,68.16,False,True,False,False,False
ORD_30295,1,10,357.97,False,True,False,False,False
ORD_31310,3,1,2.99,False,False,False,False,True
ORD_97342,1,1,92.57,True,False,False,False,False
ORD_49753,1,2,68.35,False,True,False,False,False
ORD_66732,1,13,197.23,False,True,False,False,False
ORD_39143,1,3,153.67,False,True,False,False,False
ORD_94325,1,3,46.43,False,True,False,False,False
ORD_80573,1,4,102.03,False,True,False,False,False
ORD_67911,1,5,119.45,False,True,False,False,False
ORD_15133,1,1,44.23,False,True,False,False,False
ORD_98500,1,1,67.5,False,True,False,False,False
ORD_84866,5,1,8.75,False,False,False,False,True
ORD_27631,1,2,44.27,False,True,False,False,False
ORD_37391,1,1,37.15,False,True,False,False,False
ORD_17704,1,2,114.13,False,True,False,False,False
ORD_10910,1,1,396.97,False,True,False,False,False
ORD_85632,1,10,185.85,False,True,False,False,False
ORD_11093,1,3,62.11,False,True,False,False,False
ORD_52938,1,2,25.23,False,True,False,False,False
ORD_54580,1,5,153.22,False,True,False,False,False
ORD_59095,1,1,145.01,False,False,True,False,False
ORD_92372,1,1,70.89,True,False,False,False,False
ORD_11223,1,6,114.34,False,True,False,False,False
ORD_95431,1,2,31.38,False,True,False,False,False
ORD_66912,1,5,256.5,False,True,False,False,False
ORD_4295,1,1,341.4,True,False,False,False,False
ORD_92391,1,1,143.99,False,True,False,False,False
ORD_37187,1,1,84.88,False,False,False,False,True
ORD_97249,1,8,232.27,False,True,False,False,False
ORD_35887,1,5,194.0,False,True,False,False,False
ORD_32296,1,1,260.57,False,True,False,False,False
ORD_72779,1,1,49.59,False,True,False,False,False
ORD_76538,1,3,196.55,False,True,False,False,False
ORD_16030,1,1,245.94,True,False,False,False,False
ORD_12713,2,1,72.42,False,False,False,False,True
ORD_11688,1,2,217.15,False,True,False,False,False
ORD_3181,1,4,152.28,False,True,False,False,False
ORD_25821,1,3,72.34,False,True,False,False,False
ORD_95798,1,5,128.95,False,True,False,False,False
ORD_67348,1,1,56.85,False,True,False,False,False
ORD_42956,1,1,20.29,False,True,False,False,False
ORD_39986,1,1,171.75,True,False,False,False,False
ORD_32874,1,1,85.82,False,True,False,False,False
ORD_91603,1,1,56.05,True,False,False,False,False
ORD_84886,1,1,26.09,True,False,False,False,False
ORD_2525,1,1,41.17,False,True,False,False,False
ORD_88861,1,1,37.25,True,False,False,False,False
ORD_56739,1,5,135.13,False,True,False,False,False
ORD_93457,1,5,477.45,False,True,False,False,False
ORD_73160,1,2,440.12,False,True,False,False,False
ORD_59135,1,1,67.7,False,True,False,False,False
ORD_76760,1,1,168.51,True,False,False,False,False
ORD_27336,1,1,31.86,True,False,False,False,False
ORD_49008,1,1,40.87,True,False,False,False,False
ORD_25835,1,10,109.59,False,True,False,False,False
ORD_35452,1,3,206.87,False,True,False,False,False
ORD_94648,1,1,134.38,False,True,False,False,False
ORD_55465,1,1,56.06,False,True,False,False,False
ORD_25424,1,3,264.08,False,True,False,False,False
ORD_52453,1,10,240.77,False,True,False,False,False
ORD_69244,1,2,91.72,False,True,False,False,False
ORD_83912,1,4,49.01,False,True,False,False,False
ORD_12560,1,1,107.87,True,False,False,False,False
ORD_82801,1,3,62.01,False,True,False,False,False
ORD_38026,1,1,36.69,False,True,False,False,False
ORD_96197,1,3,35.0,False,True,False,False,False
ORD_27435,1,8,256.37,False,True,False,False,False
ORD_87987,1,1,47.84,False,True,False,False,False
ORD_19551,1,5,125.87,False,True,False,False,False
ORD_87250,1,1,42.39,False,True,False,False,False
ORD_8115,1,5,117.53,False,True,False,False,False
ORD_51068,1,1,43.28,False,True,False,False,False
ORD_34499,1,4,144.54,False,True,False,False,False
ORD_34063,1,1,126.48,True,False,False,False,False
ORD_29864,1,4,125.29,False,True,False,False,False
ORD_94756,1,2,229.74,False,True,False,False,False
ORD_21246,1,1,124.6,False,True,False,False,False
ORD_12591,1,1,143.86,True,False,False,False,False
ORD_96894,1,1,56.89,False,False,False,False,True
ORD_55948,1,1,46.78,True,False,False,False,False
ORD_27661,8,1,3.98,False,False,False,False,True
ORD_2066,1,3,72.66,False,True,False,False,False
ORD_63180,1,1,50.1,True,False,False,False,False
ORD_726,1,1,85.79,True,False,False,False,False
ORD_37422,1,1,63.7,True,False,False,False,False
ORD_11792,1,10,1586.47,False,True,False,False,False
ORD_83141,1,3,433.07,False,True,False,False,False
ORD_23704,1,10,642.02,False,True,False,False,False
ORD_80586,1,4,263.95,False,True,False,False,False
ORD_63499,1,1,134.99,True,False,False,False,False
ORD_45885,1,1,57.89,False,True,False,False,False
ORD_94505,1,1,383.99,False,True,False,False,False
ORD_61641,1,1,159.31,True,False,False,False,False
ORD_79224,1,1,756.91,False,True,False,False,False
ORD_65863,1,7,156.22,False,True,False,False,False
ORD_60371,1,10,132.95,False,True,False,False,False
ORD_33373,1,1,48.27,True,False,False,False,False
ORD_39288,1,5,107.35,False,True,False,False,False
ORD_58212,1,10,110.2,False,True,False,False,False
ORD_69556,1,8,368.92,False,True,False,False,False
ORD_73567,1,1,106.85,True,False,False,False,False
ORD_23065,1,8,281.5,False,True,False,False,False
ORD_93663,1,2,54.25,False,True,False,False,False
ORD_45289,1,5,121.78,False,True,False,False,False
ORD_3390,1,2,102.26,False,True,False,False,False
ORD_56550,1,1,90.62,True,False,False,False,False
ORD_89264,1,1,75.69,True,False,False,False,False
ORD_38522,1,1,42.86,False,False,True,False,False
ORD_79663,1,1,35.7,False,True,False,False,False
ORD_42361,1,10,444.25,False,True,False,False,False
ORD_27027,1,1,69.16,False,True,False,False,False
ORD_11940,2,1,30.0,False,False,False,False,True
ORD_74098,1,2,65.71,False,True,False,False,False
ORD_82844,1,1,29.29,False,True,False,False,False
ORD_25010,1,1,37.74,False,True,False,False,False
ORD_62385,2,1,30.0,False,False,False,False,True
ORD_7364,1,2,145.9,False,True,False,False,False
ORD_25278,1,1,79.88,False,True,False,False,False
ORD_76702,1,5,108.0,False,True,False,False,False
ORD_27701,1,6,348.74,False,True,False,False,False
ORD_1823,1,6,88.78,False,True,False,False,False
ORD_55476,1,4,953.71,False,True,False,False,False
ORD_82771,1,6,125.77,False,True,False,False,False
ORD_88638,1,3,64.05,False,True,False,False,False
ORD_17416,1,1,127.69,True,False,False,False,False
ORD_21349,1,1,62.42,False,True,False,False,False
ORD_94387,1,5,55.69,False,True,False,False,False
ORD_58556,1,7,146.13,False,True,False,False,False
ORD_93070,1,5,349.99,False,True,False,False,False
ORD_9786,1,1,91.28,False,True,False,False,False
ORD_68526,1,1,108.64,True,False,False,False,False
ORD_4514,1,2,158.98,False,True,False,False,False
ORD_213,1,1,20.75,False,True,False,False,False
ORD_32316,1,1,72.9,True,False,False,False,False
ORD_61574,1,3,543.83,False,True,False,False,False
ORD_82091,1,2,67.12,False,True,False,False,False
ORD_78038,1,6,139.07,False,True,False,False,False
ORD_59923,1,1,126.68,True,False,False,False,False
ORD_54790,1,1,41.42,False,True,False,False,False
ORD_33374,1,1,203.16,True,False,False,False,False
ORD_71536,1,8,540.02,False,True,False,False,False
ORD_78759,1,1,368.6,True,False,False,False,False
ORD_35522,1,4,107.78,False,True,False,False,False
ORD_61484,1,10,387.27,False,True,False,False,False
ORD_58949,1,10,107.23,False,True,False,False,False
ORD_9010,1,2,101.25,False,True,False,False,False
ORD_97503,1,1,26.09,False,True,False,False,False
ORD_82572,1,1,244.35,True,False,False,False,False
ORD_69069,1,10,117.85,False,True,False,False,False
ORD_34440,1,3,171.32,False,True,False,False,False
ORD_76246,1,10,202.44,False,True,False,False,False
ORD_81861,1,1,73.03,True,False,False,False,False
ORD_91402,1,4,264.67,False,True,False,False,False
ORD_72805,1,1,68.7,False,True,False,False,False
ORD_14673,1,1,55.13,True,False,False,False,False
ORD_88251,1,2,92.99,False,True,False,False,False
ORD_45116,1,3,36.0,False,True,False,False,False
ORD_85277,1,1,17.87,False,True,False,False,False
ORD_54729,1,1,58.38,False,True,False,False,False
ORD_89414,2,1,50.0,False,False,False,False,True
ORD_14219,1,10,1995.69,False,True,False,False,False
ORD_27503,1,3,130.14,False,True,False,False,False
ORD_85059,1,1,710.23,True,False,False,False,False
ORD_76550,1,1,68.0,False,True,False,False,False
ORD_39499,1,5,59.51,False,True,False,False,False
ORD_42142,1,5,371.94,False,True,False,False,False
ORD_23892,1,10,667.99,False,True,False,False,False
ORD_41378,1,1,63.89,False,True,False,False,False
ORD_8342,1,4,49.34,False,True,False,False,False
ORD_22650,1,1,147.0,True,False,False,False,False
ORD_2183,1,1,354.64,False,True,False,False,False
ORD_45568,1,4,59.71,False,True,False,False,False
ORD_53794,1,8,408.66,False,True,False,False,False
ORD_52888,1,5,51.66,False,True,False,False,False
ORD_49300,1,2,386.46,False,True,False,False,False
ORD_75063,1,2,69.54,False,True,False,False,False
ORD_65778,1,1,21.94,False,True,False,False,False
ORD_65512,1,1,52.34,False,True,False,False,False
ORD_20896,1,1,114.25,False,True,False,False,False
ORD_27392,1,2,162.83,False,True,False,False,False
ORD_93080,1,1,172.92,False,True,False,False,False
ORD_88513,1,7,81.72,False,True,False,False,False
ORD_80260,1,2,151.79,False,True,False,False,False
ORD_89113,1,4,243.62,False,True,False,False,False
ORD_43174,1,1,56.42,True,False,False,False,False
ORD_50205,1,4,45.13,False,True,False,False,False
ORD_96065,1,1,108.64,True,False,False,False,False
ORD_18477,1,4,64.51,False,True,False,False,False
ORD_42888,1,8,193.5,False,True,False,False,False
ORD_73292,1,1,110.63,True,False,False,False,False
ORD_88522,1,5,200.55,False,True,False,False,False
ORD_31540,1,1,41.71,False,True,False,False,False
ORD_1130,1,1,54.43,False,True,False,False,False
ORD_45680,1,3,77.64,False,True,False,False,False
ORD_89404,1,1,280.08,True,False,False,False,False
ORD_77175,1,5,101.34,False,True,False,False,False
ORD_28134,1,1,77.57,False,True,False,False,False
ORD_38197,1,4,60.2,False,True,False,False,False
ORD_49428,1,1,48.1,True,False,False,False,False
ORD_49038,1,1,76.02,True,False,False,False,False
ORD_65449,1,2,84.56,False,True,False,False,False
ORD_1743,2,1,20.0,False,False,False,False,True
ORD_89284,1,4,48.16,False,True,False,False,False
ORD_14292,1,1,265.41,False,False,True,False,False
ORD_40269,1,5,127.53,False,True,False,False,False
ORD_44507,1,2,128.73,False,True,False,False,False
ORD_80470,1,3,37.37,False,True,False,False,False
ORD_24634,1,5,150.15,False,True,False,False,False
ORD_38019,1,2,36.16,False,True,False,False,False
ORD_71992,1,4,198.0,False,True,False,False,False
ORD_37386,1,5,112.4,False,True,False,False,False
ORD_2609,1,1,35.4,False,True,False,False,False
ORD_2958,1,6,189.98,False,True,False,False,False
ORD_74629,1,2,228.6,False,True,False,False,False
ORD_13447,1,8,314.21,False,True,False,False,False
ORD_13917,1,1,22.29,False,True,False,False,False
ORD_52458,1,8,257.3,False,True,False,False,False
ORD_19584,1,6,162.99,False,True,False,False,False
ORD_41399,1,1,51.03,True,False,False,False,False
ORD_96218,1,12,190.09,False,True,False,False,False
ORD_48042,1,7,374.24,False,True,False,False,False
ORD_63437,1,5,53.15,False,True,False,False,False
ORD_20173,1,2,88.2,False,True,False,False,False
ORD_42610,2,1,25.9,False,False,False,False,True
ORD_54113,1,1,46.81,False,True,False,False,False
ORD_65910,1,1,131.47,True,False,False,False,False
ORD_53537,1,3,258.71,False,True,False,False,False
ORD_88669,1,1,84.23,False,True,False,False,False
ORD_4633,1,10,156.73,False,True,False,False,False
ORD_38711,1,1,69.9,True,False,False,False,False
ORD_49568,1,1,48.13,True,False,False,False,False
ORD_88517,1,6,187.15,False,True,False,False,False
ORD_72056,1,3,69.99,False,True,False,False,False
ORD_42895,2,1,25.0,False,False,False,False,True
ORD_25164,1,2,162.1,False,True,False,False,False
ORD_20190,1,1,57.11,False,True,False,False,False
ORD_35245,1,1,154.87,False,True,False,False,False
ORD_83964,1,4,236.81,False,True,False,False,False
ORD_65970,1,1,102.53,False,True,False,False,False
ORD_84849,1,3,65.1,False,True,False,False,False
ORD_85357,1,1,93.64,True,False,False,False,False
ORD_97177,1,1,64.09,True,False,False,False,False
ORD_29465,1,5,279.4,False,True,False,False,False
ORD_93863,1,5,205.43,False,True,False,False,False
ORD_57938,1,4,89.57,False,True,False,False,False
ORD_45838,1,1,75.07,True,False,False,False,False
ORD_12736,1,4,63.23,False,True,False,False,False
ORD_24837,1,1,0.52,False,True,False,False,False
ORD_48875,1,10,231.27,False,True,False,False,False
ORD_24722,1,1,41.69,True,False,False,False,False
ORD_45687,1,4,69.41,False,True,False,False,False
ORD_2877,1,1,72.75,False,True,False,False,False
ORD_98208,1,2,24.29,False,True,False,False,False
ORD_73102,1,5,88.49,False,True,False,False,False
ORD_66273,1,7,71.66,False,True,False,False,False
ORD_81369,1,2,80.81,False,True,False,False,False
ORD_7739,1,2,132.82,False,True,False,False,False
ORD_70137,1,7,394.07,False,True,False,False,False
ORD_31257,1,2,165.5,False,True,False,False,False
ORD_61017,1,2,98.47,False,True,False,False,False
ORD_1532,1,2,49.77,False,True,False,False,False
ORD_21476,1,8,180.91,False,True,False,False,False
ORD_54915,1,4,40.63,False,True,False,False,False
ORD_37702,1,1,71.63,False,False,True,False,False
ORD_1881,1,5,262.94,False,True,False,False,False
ORD_57188,1,3,62.22,False,True,False,False,False
ORD_86508,1,5,311.57,False,True,False,False,False
ORD_54323,1,1,93.22,False,False,True,False,False
ORD_74747,1,1,100.21,True,False,False,False,False
ORD_77290,1,4,125.43,False,True,False,False,False
ORD_41929,1,1,80.55,True,False,False,False,False
ORD_9497,1,2,373.44,False,True,False,False,False
ORD_60831,1,3,62.31,False,True,False,False,False
ORD_33187,1,1,36.35,False,False,True,False,False
ORD_11908,1,2,29.38,False,True,False,False,False
ORD_49601,1,10,102.47,False,True,False,False,False
ORD_23364,1,3,130.0,False,True,False,False,False
ORD_97861,1,5,69.13,False,True,False,False,False
ORD_22314,1,1,86.24,False,True,False,False,False
ORD_13898,1,1,74.29,False,True,False,False,False
