product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english
PRO_27,malas_acessorios,52.0,573.0,5.0,3600.0,35.0,25.0,50.0,53
PRO_28,informatica_acessorios,35.0,1101.0,2.0,300.0,42.0,2.0,30.0,15
PRO_29,informatica_acessorios,59.0,1890.0,2.0,740.0,23.0,13.0,13.0,15
PRO_30,esporte_lazer,50.0,529.0,2.0,3600.0,62.0,23.0,23.0,65
PRO_31,cama_mesa_banho,45.0,206.0,1.0,650.0,16.0,10.0,16.0,7
PRO_32,ferramentas_jardim,49.0,1163.0,9.0,2150.0,70.0,8.0,34.0,42
PRO_33,moveis_decoracao,60.0,208.0,1.0,800.0,40.0,10.0,34.0,39
PRO_34,moveis_escritorio,57.0,476.0,1.0,8950.0,52.0,51.0,17.0,57
PRO_35,esporte_lazer,50.0,699.0,4.0,1388.0,34.0,9.0,31.0,65
PRO_36,bebes,52.0,708.0,9.0,7950.0,33.0,30.0,44.0,6
PRO_37,automotivo,43.0,1062.0,2.0,6000.0,87.0,3.0,42.0,5
PRO_38,eletronicos,31.0,806.0,1.0,263.0,18.0,12.0,16.0,26
PRO_39,utilidades_domesticas,37.0,352.0,1.0,3900.0,19.0,20.0,15.0,49
PRO_40,moveis_decoracao,47.0,502.0,1.0,600.0,25.0,25.0,25.0,39
PRO_41,moveis_decoracao,63.0,254.0,2.0,2050.0,49.0,13.0,41.0,39
PRO_42,brinquedos,33.0,471.0,2.0,725.0,22.0,17.0,15.0,69
PRO_43,cama_mesa_banho,56.0,509.0,4.0,6350.0,45.0,15.0,35.0,7
PRO_44,bebes,47.0,980.0,4.0,600.0,70.0,11.0,11.0,6
PRO_45,cool_stuff,38.0,1701.0,2.0,11750.0,18.0,40.0,79.0,20
PRO_46,brinquedos,20.0,866.0,3.0,2550.0,22.0,32.0,38.0,69
PRO_47,cool_stuff,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0,20
PRO_48,moveis_decoracao,42.0,303.0,2.0,1300.0,25.0,16.0,25.0,39
PRO_49,moveis_decoracao,60.0,1972.0,2.0,850.0,69.0,11.0,11.0,39
PRO_50,beleza_saude,60.0,330.0,1.0,1300.0,19.0,28.0,17.0,43
PRO_51,esporte_lazer,53.0,3218.0,5.0,4800.0,60.0,30.0,15.0,65
PRO_52,cool_stuff,55.0,410.0,2.0,1300.0,36.0,16.0,24.0,20
PRO_53,automotivo,57.0,311.0,1.0,220.0,18.0,14.0,17.0,5
PRO_54,bebes,50.0,509.0,4.0,5700.0,41.0,17.0,49.0,6
PRO_55,malas_acessorios,53.0,1291.0,2.0,450.0,20.0,40.0,30.0,53
PRO_56,fashion_calcados,60.0,402.0,2.0,2000.0,32.0,12.0,37.0,31
PRO_57,telefonia,51.0,427.0,2.0,100.0,19.0,3.0,11.0,68
PRO_58,cool_stuff,58.0,1252.0,1.0,1100.0,30.0,20.0,23.0,20
PRO_59,papelaria,49.0,488.0,3.0,1400.0,38.0,40.0,39.0,66
PRO_60,brinquedos,50.0,423.0,4.0,250.0,20.0,14.0,12.0,69
PRO_61,esporte_lazer,47.0,956.0,1.0,1050.0,25.0,20.0,14.0,65
PRO_62,papelaria,59.0,144.0,1.0,500.0,24.0,7.0,16.0,66
PRO_63,beleza_saude,51.0,1069.0,1.0,1467.0,23.0,16.0,20.0,43
PRO_64,fashion_bolsas_e_acessorios,50.0,554.0,3.0,100.0,16.0,5.0,11.0,28
PRO_65,papelaria,41.0,92.0,1.0,100.0,16.0,5.0,16.0,66
PRO_66,papelaria,43.0,198.0,2.0,300.0,23.0,7.0,15.0,66
PRO_67,esporte_lazer,50.0,255.0,2.0,950.0,60.0,15.0,15.0,65
PRO_68,ferramentas_jardim,33.0,200.0,1.0,250.0,17.0,3.0,11.0,42
PRO_69,pcs,55.0,1067.0,1.0,12000.0,27.0,50.0,53.0,14
PRO_70,automotivo,60.0,1543.0,6.0,921.0,17.0,9.0,16.0,5
PRO_71,casa_construcao,55.0,1441.0,1.0,10000.0,60.0,25.0,25.0,48
PRO_72,relogios_presentes,56.0,489.0,2.0,250.0,16.0,11.0,11.0,71
PRO_73,cool_stuff,57.0,992.0,3.0,1200.0,44.0,20.0,20.0,20
PRO_74,construcao_ferramentas_construcao,54.0,339.0,1.0,4800.0,25.0,8.0,25.0,17
PRO_75,pet_shop,54.0,463.0,1.0,700.0,40.0,20.0,20.0,60
PRO_76,beleza_saude,40.0,1469.0,3.0,1050.0,18.0,21.0,27.0,43
PRO_77,eletroportateis,58.0,587.0,3.0,350.0,20.0,20.0,20.0,63
PRO_78,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,59
PRO_79,relogios_presentes,51.0,484.0,1.0,317.0,19.0,13.0,16.0,71
PRO_80,agro_industria_e_comercio,39.0,430.0,1.0,16400.0,63.0,66.0,56.0,0
PRO_81,beleza_saude,22.0,1313.0,1.0,938.0,29.0,22.0,23.0,43
PRO_82,beleza_saude,37.0,1168.0,1.0,2700.0,21.0,16.0,31.0,43
PRO_83,cama_mesa_banho,39.0,1146.0,1.0,1750.0,30.0,18.0,30.0,7
PRO_84,ferramentas_jardim,42.0,671.0,1.0,3850.0,29.0,12.0,24.0,42
PRO_85,perfumaria,49.0,460.0,2.0,267.0,17.0,13.0,17.0,59
PRO_86,instrumentos_musicais,59.0,2367.0,3.0,16200.0,55.0,40.0,40.0,56
PRO_87,cama_mesa_banho,54.0,381.0,2.0,1400.0,38.0,9.0,27.0,7
PRO_88,cama_mesa_banho,50.0,607.0,1.0,6450.0,100.0,10.0,11.0,7
PRO_89,moveis_decoracao,59.0,1750.0,3.0,2300.0,105.0,3.0,70.0,39
PRO_90,informatica_acessorios,55.0,163.0,2.0,300.0,25.0,8.0,18.0,15
PRO_91,esporte_lazer,43.0,101.0,1.0,600.0,50.0,10.0,12.0,65
PRO_92,beleza_saude,60.0,2497.0,1.0,3600.0,20.0,20.0,20.0,43
PRO_93,beleza_saude,60.0,1146.0,6.0,150.0,20.0,24.0,33.0,43
PRO_94,esporte_lazer,57.0,900.0,4.0,400.0,16.0,4.0,11.0,65
PRO_95,telefonia,49.0,319.0,1.0,100.0,18.0,6.0,11.0,68
PRO_96,moveis_decoracao,55.0,1186.0,2.0,800.0,53.0,8.0,20.0,39
PRO_97,automotivo,58.0,703.0,6.0,5250.0,47.0,19.0,23.0,5
PRO_98,automotivo,50.0,361.0,1.0,200.0,35.0,4.0,26.0,5
PRO_99,relogios_presentes,58.0,899.0,2.0,335.0,17.0,11.0,12.0,71
PRO_100,cama_mesa_banho,49.0,701.0,1.0,1300.0,50.0,12.0,12.0,7
PRO_101,moveis_decoracao,47.0,1405.0,3.0,150.0,35.0,2.0,25.0,39
PRO_102,informatica_acessorios,59.0,504.0,3.0,367.0,16.0,4.0,11.0,15
PRO_103,relogios_presentes,57.0,276.0,4.0,250.0,16.0,2.0,11.0,71
PRO_104,moveis_decoracao,46.0,287.0,1.0,8500.0,75.0,25.0,55.0,39
PRO_105,bebes,46.0,1039.0,1.0,2150.0,42.0,25.0,15.0,6
PRO_106,unknown,51.0,595.0,1.0,650.0,17.0,14.0,12.0,70
PRO_107,esporte_lazer,56.0,663.0,4.0,150.0,16.0,5.0,11.0,65
PRO_108,cama_mesa_banho,39.0,170.0,1.0,650.0,27.0,10.0,22.0,7
PRO_109,eletroportateis,53.0,794.0,4.0,2700.0,20.0,26.0,32.0,63
PRO_110,utilidades_domesticas,56.0,414.0,1.0,1200.0,23.0,22.0,16.0,49
PRO_111,moveis_sala,36.0,312.0,2.0,6050.0,55.0,10.0,46.0,40
PRO_112,esporte_lazer,53.0,425.0,1.0,150.0,16.0,6.0,11.0,65
PRO_113,casa_construcao,58.0,918.0,6.0,1050.0,16.0,20.0,16.0,48
PRO_114,pet_shop,36.0,617.0,1.0,1350.0,23.0,7.0,30.0,60
PRO_115,utilidades_domesticas,41.0,270.0,1.0,600.0,36.0,6.0,19.0,49
PRO_116,moveis_decoracao,22.0,275.0,1.0,1000.0,30.0,18.0,18.0,39
PRO_117,cama_mesa_banho,58.0,381.0,2.0,1550.0,43.0,8.0,33.0,7
PRO_118,cama_mesa_banho,58.0,223.0,1.0,2700.0,45.0,13.0,35.0,7
PRO_119,telefonia,63.0,1930.0,9.0,200.0,19.0,5.0,11.0,68
PRO_120,malas_acessorios,51.0,244.0,1.0,800.0,38.0,8.0,28.0,53
PRO_121,perfumaria,56.0,733.0,3.0,377.0,18.0,13.0,15.0,59
PRO_122,esporte_lazer,52.0,1049.0,3.0,400.0,45.0,22.0,43.0,65
PRO_123,sinalizacao_e_seguranca,51.0,1212.0,1.0,450.0,16.0,5.0,16.0,62
PRO_124,climatizacao,30.0,547.0,1.0,2000.0,32.0,51.0,16.0,1
PRO_125,fashion_bolsas_e_acessorios,53.0,1398.0,1.0,300.0,16.0,2.0,11.0,28
PRO_126,moveis_decoracao,34.0,160.0,1.0,250.0,26.0,14.0,14.0,39
PRO_127,esporte_lazer,57.0,245.0,2.0,1950.0,60.0,15.0,15.0,65
PRO_128,telefonia,50.0,1254.0,2.0,500.0,16.0,15.0,11.0,68
PRO_129,unknown,51.0,595.0,1.0,300.0,16.0,7.0,20.0,70
PRO_130,artes,59.0,1431.0,6.0,7900.0,70.0,15.0,70.0,2
PRO_131,cama_mesa_banho,53.0,261.0,2.0,1800.0,41.0,9.0,34.0,7
PRO_132,ferramentas_jardim,60.0,884.0,1.0,900.0,37.0,3.0,23.0,42
PRO_133,fashion_bolsas_e_acessorios,52.0,68.0,7.0,200.0,16.0,2.0,11.0,28
PRO_134,bebes,30.0,410.0,4.0,4500.0,80.0,70.0,28.0,6
PRO_135,consoles_games,48.0,303.0,3.0,250.0,21.0,7.0,15.0,16
PRO_136,utilidades_domesticas,59.0,943.0,1.0,550.0,16.0,25.0,12.0,49
PRO_137,malas_acessorios,49.0,540.0,4.0,1100.0,39.0,12.0,28.0,53
PRO_138,cama_mesa_banho,53.0,222.0,1.0,3600.0,40.0,20.0,40.0,7
PRO_139,consoles_games,56.0,235.0,1.0,100.0,16.0,3.0,11.0,16
PRO_140,esporte_lazer,50.0,329.0,2.0,150.0,16.0,18.0,16.0,65
PRO_141,esporte_lazer,55.0,144.0,1.0,3775.0,18.0,13.0,16.0,65
PRO_142,cool_stuff,59.0,797.0,2.0,1400.0,25.0,20.0,20.0,20
PRO_143,consoles_games,53.0,439.0,5.0,900.0,22.0,7.0,18.0,16
PRO_144,relogios_presentes,60.0,438.0,2.0,250.0,20.0,12.0,20.0,71
PRO_145,brinquedos,55.0,852.0,1.0,350.0,21.0,9.0,16.0,69
PRO_146,unknown,51.0,595.0,1.0,200.0,20.0,20.0,20.0,70
PRO_147,bebes,39.0,805.0,3.0,1800.0,18.0,32.0,27.0,6
PRO_148,moveis_sala,52.0,420.0,2.0,5050.0,50.0,8.0,50.0,40
PRO_149,automotivo,58.0,386.0,1.0,27100.0,50.0,50.0,50.0,5
PRO_150,eletrodomesticos,50.0,273.0,1.0,1500.0,65.0,8.0,38.0,44
PRO_151,relogios_presentes,43.0,572.0,2.0,500.0,16.0,11.0,11.0,71
PRO_152,cama_mesa_banho,52.0,700.0,2.0,350.0,16.0,10.0,16.0,7
PRO_153,automotivo,47.0,1548.0,3.0,500.0,16.0,12.0,17.0,5
PRO_154,esporte_lazer,55.0,448.0,1.0,1000.0,20.0,20.0,20.0,65
PRO_155,unknown,51.0,595.0,1.0,18500.0,41.0,30.0,41.0,70
PRO_156,brinquedos,51.0,410.0,2.0,300.0,24.0,11.0,24.0,69
PRO_157,beleza_saude,59.0,257.0,1.0,250.0,16.0,2.0,20.0,43
PRO_158,beleza_saude,51.0,863.0,1.0,10700.0,40.0,40.0,40.0,43
PRO_159,utilidades_domesticas,29.0,290.0,1.0,1700.0,32.0,21.0,22.0,49
PRO_160,ferramentas_jardim,31.0,680.0,1.0,7700.0,39.0,28.0,25.0,42
PRO_161,esporte_lazer,57.0,785.0,4.0,5200.0,20.0,60.0,35.0,65
PRO_162,telefonia,51.0,244.0,1.0,125.0,17.0,10.0,14.0,68
PRO_163,moveis_escritorio,50.0,2220.0,1.0,15700.0,58.0,28.0,58.0,57
PRO_164,relogios_presentes,53.0,599.0,2.0,350.0,16.0,11.0,11.0,71
PRO_165,esporte_lazer,57.0,649.0,1.0,213.0,16.0,10.0,13.0,65
PRO_166,fashion_bolsas_e_acessorios,30.0,401.0,3.0,150.0,16.0,11.0,11.0,28
PRO_167,automotivo,35.0,907.0,3.0,18200.0,56.0,15.0,15.0,5
PRO_168,utilidades_domesticas,38.0,390.0,1.0,850.0,18.0,21.0,15.0,49
PRO_169,casa_construcao,55.0,918.0,6.0,1050.0,16.0,20.0,16.0,48
PRO_170,fashion_bolsas_e_acessorios,48.0,382.0,5.0,200.0,16.0,9.0,11.0,28
PRO_171,utilidades_domesticas,32.0,42.0,1.0,300.0,16.0,15.0,11.0,49
PRO_172,informatica_acessorios,47.0,764.0,1.0,200.0,23.0,9.0,13.0,15
PRO_173,esporte_lazer,52.0,406.0,1.0,800.0,20.0,25.0,25.0,65
PRO_174,papelaria,50.0,198.0,2.0,200.0,24.0,7.0,14.0,66
PRO_175,esporte_lazer,50.0,853.0,1.0,698.0,46.0,10.0,14.0,65
PRO_176,telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0,68
PRO_177,livros_interesse_geral,50.0,2913.0,3.0,1000.0,24.0,5.0,17.0,8
PRO_178,informatica_acessorios,53.0,585.0,1.0,783.0,21.0,13.0,28.0,15
PRO_179,perfumaria,48.0,1063.0,2.0,600.0,20.0,20.0,20.0,59
PRO_180,brinquedos,47.0,181.0,1.0,11650.0,55.0,30.0,30.0,69
PRO_181,construcao_ferramentas_ferramentas,42.0,369.0,1.0,400.0,16.0,2.0,11.0,22
PRO_182,brinquedos,25.0,274.0,1.0,3050.0,40.0,10.0,40.0,69
PRO_183,telefonia,50.0,744.0,1.0,100.0,16.0,3.0,11.0,68
PRO_184,ferramentas_jardim,44.0,2395.0,1.0,16500.0,40.0,25.0,26.0,42
PRO_185,utilidades_domesticas,59.0,470.0,2.0,750.0,34.0,14.0,24.0,49
PRO_186,fashion_underwear_e_moda_praia,39.0,422.0,1.0,250.0,36.0,4.0,20.0,33
PRO_187,malas_acessorios,59.0,413.0,3.0,2300.0,84.0,14.0,20.0,53
PRO_188,eletronicos,37.0,374.0,1.0,1350.0,33.0,12.0,26.0,26
PRO_189,utilidades_domesticas,22.0,388.0,3.0,530.0,17.0,20.0,20.0,49
PRO_190,automotivo,59.0,162.0,1.0,1300.0,20.0,20.0,20.0,5
PRO_191,fashion_calcados,59.0,605.0,5.0,4000.0,57.0,14.0,36.0,31
PRO_192,esporte_lazer,52.0,234.0,4.0,8150.0,20.0,20.0,20.0,65
PRO_193,construcao_ferramentas_construcao,57.0,272.0,1.0,2200.0,16.0,2.0,11.0,17
PRO_194,beleza_saude,55.0,1029.0,1.0,1150.0,20.0,25.0,20.0,43
PRO_195,relogios_presentes,60.0,312.0,4.0,200.0,16.0,2.0,11.0,71
PRO_196,moveis_decoracao,60.0,1068.0,3.0,400.0,16.0,20.0,16.0,39
PRO_197,moveis_decoracao,63.0,244.0,4.0,600.0,29.0,12.0,23.0,39
PRO_198,unknown,51.0,595.0,1.0,300.0,35.0,7.0,12.0,70
PRO_199,cama_mesa_banho,48.0,645.0,1.0,1200.0,16.0,10.0,16.0,7
PRO_200,cool_stuff,50.0,268.0,5.0,10664.0,61.0,63.0,35.0,20
PRO_201,utilidades_domesticas,43.0,2148.0,2.0,1800.0,50.0,12.0,36.0,49
PRO_202,esporte_lazer,47.0,154.0,3.0,500.0,16.0,2.0,11.0,65
PRO_203,papelaria,48.0,501.0,1.0,258.0,19.0,12.0,19.0,66
PRO_204,papelaria,59.0,209.0,1.0,1400.0,16.0,44.0,37.0,66
PRO_205,brinquedos,59.0,640.0,1.0,400.0,35.0,7.0,35.0,69
PRO_206,climatizacao,58.0,655.0,5.0,1300.0,30.0,10.0,30.0,1
PRO_207,cama_mesa_banho,55.0,315.0,2.0,1000.0,30.0,10.0,25.0,7
PRO_208,pet_shop,52.0,1290.0,3.0,1300.0,30.0,10.0,18.0,60
PRO_209,brinquedos,58.0,443.0,2.0,3305.0,38.0,36.0,19.0,69
PRO_210,bebes,55.0,224.0,2.0,6000.0,75.0,15.0,50.0,6
PRO_211,informatica_acessorios,50.0,281.0,4.0,300.0,35.0,5.0,25.0,15
PRO_212,cama_mesa_banho,57.0,74.0,1.0,250.0,20.0,2.0,15.0,7
PRO_213,perfumaria,45.0,1003.0,2.0,400.0,18.0,11.0,11.0,59
PRO_214,eletronicos,32.0,1274.0,1.0,250.0,16.0,10.0,30.0,26
PRO_215,brinquedos,57.0,1532.0,2.0,1250.0,29.0,19.0,22.0,69
PRO_216,fashion_roupa_masculina,47.0,1026.0,2.0,950.0,40.0,6.0,40.0,30
PRO_217,pet_shop,54.0,261.0,6.0,2000.0,30.0,34.0,17.0,60
PRO_218,bebes,56.0,1395.0,7.0,13575.0,71.0,81.0,44.0,6
PRO_219,beleza_saude,60.0,537.0,1.0,667.0,17.0,16.0,16.0,43
PRO_220,relogios_presentes,55.0,457.0,2.0,267.0,17.0,11.0,12.0,71
PRO_221,cama_mesa_banho,60.0,609.0,2.0,1750.0,45.0,20.0,40.0,7
PRO_222,beleza_saude,52.0,1113.0,1.0,150.0,16.0,12.0,11.0,43
PRO_223,brinquedos,48.0,135.0,1.0,10550.0,65.0,7.0,45.0,69
PRO_224,utilidades_domesticas,57.0,1298.0,1.0,1725.0,100.0,35.0,16.0,49
PRO_225,malas_acessorios,43.0,215.0,1.0,700.0,45.0,10.0,31.0,53
PRO_226,esporte_lazer,29.0,1318.0,1.0,400.0,34.0,16.0,16.0,65
PRO_227,papelaria,23.0,146.0,3.0,300.0,30.0,10.0,20.0,66
PRO_228,casa_construcao,59.0,1582.0,1.0,5850.0,60.0,25.0,25.0,48
PRO_229,relogios_presentes,47.0,687.0,1.0,267.0,17.0,11.0,13.0,71
PRO_230,cama_mesa_banho,53.0,155.0,2.0,1500.0,39.0,12.0,25.0,7
PRO_231,cool_stuff,42.0,727.0,1.0,400.0,24.0,16.0,14.0,20
PRO_232,esporte_lazer,54.0,3830.0,1.0,1300.0,31.0,32.0,31.0,65
PRO_233,utilidades_domesticas,58.0,172.0,1.0,400.0,16.0,10.0,14.0,49
PRO_234,artes,32.0,195.0,1.0,150.0,25.0,2.0,19.0,2
PRO_235,beleza_saude,40.0,654.0,1.0,650.0,25.0,13.0,14.0,43
PRO_236,consoles_games,44.0,421.0,1.0,706.0,32.0,8.0,38.0,16
PRO_237,fashion_bolsas_e_acessorios,59.0,251.0,1.0,300.0,25.0,10.0,25.0,28
PRO_238,cama_mesa_banho,41.0,242.0,1.0,4850.0,75.0,5.0,50.0,7
PRO_239,automotivo,51.0,1741.0,1.0,825.0,20.0,24.0,15.0,5
PRO_240,informatica_acessorios,31.0,432.0,1.0,600.0,46.0,3.0,15.0,15
PRO_241,esporte_lazer,53.0,527.0,2.0,700.0,23.0,9.0,11.0,65
PRO_242,moveis_decoracao,51.0,1442.0,1.0,300.0,40.0,10.0,27.0,39
PRO_243,utilidades_domesticas,55.0,471.0,2.0,1270.0,17.0,14.0,17.0,49
PRO_244,construcao_ferramentas_ferramentas,40.0,338.0,1.0,450.0,20.0,2.0,11.0,22
PRO_245,unknown,51.0,595.0,1.0,2200.0,16.0,2.0,11.0,70
PRO_246,eletrodomesticos,56.0,173.0,1.0,150.0,18.0,8.0,13.0,44
PRO_247,ferramentas_jardim,49.0,192.0,1.0,200.0,16.0,3.0,11.0,42
PRO_248,moveis_cozinha_area_de_servico_jantar_e_jardim,50.0,859.0,1.0,10893.0,33.0,88.0,44.0,51
PRO_249,utilidades_domesticas,53.0,524.0,1.0,1800.0,25.0,7.0,20.0,49
PRO_250,brinquedos,29.0,566.0,2.0,1220.0,20.0,33.0,22.0,69
PRO_251,beleza_saude,53.0,1368.0,6.0,360.0,30.0,19.0,22.0,43
PRO_252,eletronicos,52.0,424.0,1.0,175.0,22.0,11.0,15.0,26
PRO_253,pet_shop,50.0,852.0,1.0,1900.0,50.0,13.0,70.0,60
PRO_254,esporte_lazer,37.0,621.0,5.0,250.0,20.0,20.0,20.0,65
PRO_255,bebes,58.0,1261.0,3.0,6950.0,85.0,11.0,50.0,6
PRO_256,utilidades_domesticas,57.0,1094.0,1.0,1100.0,55.0,5.0,40.0,49
PRO_257,bebes,64.0,882.0,5.0,300.0,17.0,7.0,24.0,6
PRO_258,moveis_escritorio,41.0,2261.0,1.0,16500.0,58.0,28.0,58.0,57
PRO_259,malas_acessorios,28.0,453.0,1.0,300.0,16.0,23.0,19.0,53
PRO_260,eletronicos,25.0,813.0,1.0,1836.0,61.0,6.0,24.0,26
PRO_261,beleza_saude,59.0,822.0,1.0,175.0,18.0,22.0,16.0,43
PRO_262,brinquedos,53.0,579.0,1.0,675.0,22.0,24.0,21.0,69
PRO_263,esporte_lazer,58.0,568.0,4.0,200.0,26.0,5.0,20.0,65
PRO_264,industria_comercio_e_negocios,58.0,1058.0,1.0,1200.0,30.0,20.0,30.0,50
PRO_265,informatica_acessorios,32.0,1074.0,2.0,200.0,39.0,2.0,30.0,15
PRO_266,moveis_escritorio,46.0,1193.0,2.0,16100.0,63.0,61.0,24.0,57
PRO_267,telefonia,51.0,443.0,1.0,117.0,19.0,4.0,12.0,68
PRO_268,telefonia_fixa,27.0,1217.0,1.0,455.0,36.0,18.0,27.0,34
PRO_269,cama_mesa_banho,55.0,613.0,1.0,550.0,16.0,10.0,16.0,7
PRO_270,fashion_calcados,54.0,404.0,4.0,750.0,22.0,12.0,33.0,31
PRO_271,cool_stuff,43.0,447.0,2.0,586.0,18.0,11.0,13.0,20
PRO_272,construcao_ferramentas_iluminacao,57.0,919.0,6.0,540.0,16.0,27.0,16.0,18
PRO_273,esporte_lazer,42.0,2819.0,1.0,3700.0,30.0,20.0,20.0,65
PRO_274,utilidades_domesticas,57.0,623.0,4.0,3150.0,30.0,17.0,30.0,49
PRO_275,cama_mesa_banho,57.0,296.0,1.0,2100.0,53.0,27.0,40.0,7
PRO_276,construcao_ferramentas_seguranca,51.0,1006.0,3.0,314.0,20.0,19.0,18.0,19
PRO_277,cama_mesa_banho,49.0,153.0,1.0,550.0,23.0,15.0,23.0,7
PRO_278,automotivo,55.0,978.0,1.0,13825.0,70.0,35.0,49.0,5
PRO_279,cama_mesa_banho,42.0,431.0,1.0,850.0,40.0,6.0,50.0,7
PRO_280,bebes,19.0,200.0,1.0,250.0,21.0,4.0,13.0,6
PRO_281,brinquedos,55.0,1475.0,1.0,400.0,20.0,20.0,20.0,69
PRO_282,perfumaria,48.0,606.0,2.0,400.0,16.0,20.0,15.0,59
PRO_283,consoles_games,25.0,211.0,1.0,200.0,16.0,2.0,16.0,16
PRO_284,automotivo,60.0,1023.0,5.0,250.0,20.0,20.0,20.0,5
PRO_285,informatica_acessorios,53.0,813.0,4.0,1950.0,17.0,11.0,12.0,15
PRO_286,moveis_decoracao,49.0,607.0,1.0,300.0,35.0,10.0,25.0,39
PRO_287,relogios_presentes,54.0,364.0,1.0,1050.0,30.0,45.0,11.0,71
PRO_288,automotivo,53.0,1373.0,4.0,400.0,16.0,7.0,11.0,5
PRO_289,instrumentos_musicais,40.0,234.0,1.0,1000.0,56.0,9.0,22.0,56
PRO_290,esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0,65
PRO_291,beleza_saude,60.0,876.0,1.0,700.0,16.0,16.0,16.0,43
PRO_292,consoles_games,47.0,358.0,3.0,450.0,17.0,7.0,17.0,16
PRO_293,beleza_saude,29.0,556.0,1.0,2000.0,30.0,12.0,16.0,43
PRO_294,construcao_ferramentas_construcao,57.0,954.0,4.0,21400.0,20.0,20.0,20.0,17
PRO_295,unknown,51.0,595.0,1.0,300.0,16.0,7.0,11.0,70
PRO_296,informatica_acessorios,52.0,2515.0,1.0,188.0,20.0,16.0,15.0,15
PRO_297,moveis_decoracao,56.0,646.0,1.0,300.0,16.0,30.0,20.0,39
PRO_298,fashion_bolsas_e_acessorios,38.0,487.0,2.0,13600.0,26.0,60.0,40.0,28
PRO_299,moveis_decoracao,50.0,1342.0,3.0,800.0,25.0,25.0,25.0,39
PRO_300,unknown,51.0,595.0,1.0,300.0,18.0,8.0,14.0,70
PRO_301,moveis_decoracao,49.0,600.0,2.0,1400.0,65.0,12.0,12.0,39
PRO_302,relogios_presentes,50.0,295.0,1.0,650.0,13.0,11.0,12.0,71
PRO_303,construcao_ferramentas_construcao,37.0,2457.0,1.0,600.0,26.0,17.0,17.0,17
PRO_304,moveis_decoracao,58.0,1969.0,2.0,3000.0,69.0,11.0,11.0,39
PRO_305,malas_acessorios,45.0,224.0,1.0,950.0,46.0,10.0,33.0,53
PRO_306,moveis_decoracao,51.0,582.0,2.0,17400.0,42.0,35.0,42.0,39
PRO_307,fashion_roupa_masculina,36.0,940.0,2.0,300.0,16.0,2.0,11.0,30
PRO_308,informatica_acessorios,52.0,1224.0,2.0,700.0,20.0,20.0,20.0,15
PRO_309,pet_shop,56.0,1545.0,2.0,625.0,21.0,16.0,17.0,60
