review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
RV_35,OR_21473,4,Muito bom.,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",2018-06-07 00:00:00,2018-06-09 18:44:02
RV_36,OR_1881,5,No Title,No Comment,2017-09-12 00:00:00,2017-09-13 14:33:49
RV_37,OR_86516,5,Bom,"Recomendo ,",2018-06-13 00:00:00,2018-06-13 22:54:44
RV_38,OR_67308,5,No Title,muito boa ,2018-03-22 00:00:00,2018-03-30 23:37:25
RV_39,OR_87608,5,Maravilhoso!,"Tô completamente apaixonada, loja super responsável e confiável!",2018-08-10 00:00:00,2018-08-11 00:22:13
RV_40,OR_23161,1,No Title,Nada de chegar o meu pedido.,2017-04-21 00:00:00,2017-04-23 05:37:03
RV_41,OR_65606,2,No Title,No Comment,2018-05-13 00:00:00,2018-05-14 16:29:15
RV_42,OR_52237,1,No Title,No Comment,2018-02-08 00:00:00,2018-02-10 04:28:43
RV_43,OR_74566,5,No Title,No Comment,2017-12-05 00:00:00,2017-12-07 23:34:56
RV_44,OR_63813,5,Entrega perfeita,Muito bom. muito cheiroso.,2018-06-13 00:00:00,2018-06-14 17:29:03
RV_45,OR_93920,5,No Title,No Comment,2018-03-11 00:00:00,2018-03-14 00:38:50
RV_46,OR_26432,4,No Title,No Comment,2018-03-29 00:00:00,2018-03-31 00:13:07
RV_47,OR_10108,5,No Title,No Comment,2018-01-25 00:00:00,2018-02-18 23:03:20
RV_48,OR_68908,5,No Title,"otimo vendedor chegou ate antes do prazo , adorei o produto",2017-05-13 00:00:00,2017-05-14 02:57:19
RV_49,OR_50275,5,No Title,No Comment,2017-09-22 00:00:00,2017-09-23 13:57:39
RV_50,OR_86339,5,No Title,Processo de compra tranquilo e eficiente.,2018-04-24 00:00:00,2018-04-25 16:01:03
RV_51,OR_57227,5,No Title,Tomara q dure pois é de pelinho.,2017-05-19 00:00:00,2017-05-21 03:04:35
RV_52,OR_32582,1,No Title,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",2018-01-28 00:00:00,2018-02-04 11:06:15
RV_53,OR_7904,5,No Title,No Comment,2018-07-14 00:00:00,2018-07-16 20:09:42
RV_54,OR_83687,5,Ótimo,No Comment,2018-06-02 00:00:00,2018-06-02 23:15:37
RV_55,OR_24472,5,No Title,No Comment,2017-12-15 00:00:00,2017-12-17 14:43:35
RV_56,OR_29850,5,No Title,boa,2017-03-21 00:00:00,2017-03-22 00:58:49
RV_57,OR_50778,3,No Title,No Comment,2018-05-10 00:00:00,2018-05-13 22:51:53
RV_58,OR_14861,3,No Title,No Comment,2017-10-27 00:00:00,2017-10-27 16:12:52
RV_59,OR_32761,4,No Title,No Comment,2018-05-31 00:00:00,2018-06-04 23:44:16
RV_60,OR_53218,5,MT lindo,MT lindo,2018-07-25 00:00:00,2018-07-25 21:37:22
RV_61,OR_36959,5,No Title,No Comment,2018-04-03 00:00:00,2018-04-03 23:39:36
RV_62,OR_19315,5,No Title,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",2017-06-02 00:00:00,2017-06-03 13:12:07
RV_63,OR_43756,5,No Title,"Amei achei lindo ,muito delicado adorei",2018-04-18 00:00:00,2018-04-18 22:30:45
RV_64,OR_20923,5,No Title,No Comment,2018-02-20 00:00:00,2018-02-21 01:40:57
RV_65,OR_68904,4,No Title,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",2018-04-04 00:00:00,2018-04-06 15:43:39
RV_66,OR_62796,5,No Title,No Comment,2018-02-27 00:00:00,2018-03-02 08:33:35
RV_67,OR_69177,5,No Title,No Comment,2018-06-03 00:00:00,2018-06-06 12:41:24
RV_68,OR_14294,5,Ótimo Produto! ,Recomendo o vendedor... ,2018-08-17 00:00:00,2018-08-17 21:47:08
RV_69,OR_58163,1,No Title,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",2016-12-09 00:00:00,2016-12-19 14:10:43
RV_70,OR_29020,5,No Title,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",2017-08-09 00:00:00,2017-08-09 12:03:45
RV_71,OR_49284,3,No Title,No Comment,2018-07-14 00:00:00,2018-07-14 21:04:31
RV_72,OR_36682,5,No Title,No Comment,2018-04-10 00:00:00,2018-04-12 10:28:20
RV_73,OR_20903,4,No Title,No Comment,2018-01-31 00:00:00,2018-02-01 02:09:13
RV_74,OR_2755,3,No Title,Eu comprei duas unidades e só recebi uma e agora o que faço?,2017-11-09 00:00:00,2017-11-10 10:38:37
RV_75,OR_6173,5,No Title,No Comment,2018-08-28 00:00:00,2018-08-29 02:00:24
RV_76,OR_20300,3,No Title,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",2018-01-31 00:00:00,2018-01-31 23:29:21
RV_77,OR_59240,1,No Title,"Produto muito inferior, mal acabado.",2018-07-03 00:00:00,2018-07-05 19:03:52
RV_78,OR_35047,5,No Title,No Comment,2017-07-29 00:00:00,2017-08-01 18:43:09
RV_79,OR_38873,4,No Title,No Comment,2018-06-14 00:00:00,2018-06-18 22:53:04
RV_80,OR_28209,5,RECOMENDO SEMPRE!!,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,2018-06-19 00:00:00,2018-06-19 17:44:05
RV_81,OR_9096,5,No Title,Maravilha ,2017-08-09 00:00:00,2017-08-11 23:28:46
RV_82,OR_58180,5,No Title,No Comment,2018-01-12 00:00:00,2018-01-14 22:44:58
RV_83,OR_65151,5,No Title,No Comment,2018-04-06 00:00:00,2018-04-07 03:11:49
RV_84,OR_73715,4,No Title,No Comment,2017-03-31 00:00:00,2017-04-01 23:43:01
RV_85,OR_34884,5,No Title,No Comment,2018-02-23 00:00:00,2018-02-23 11:06:24
RV_86,OR_60064,5,No Title,No Comment,2018-05-15 00:00:00,2018-05-20 13:57:26
RV_87,OR_44210,5,No Title,No Comment,2018-04-24 00:00:00,2018-04-25 20:28:48
RV_88,OR_61774,3,No Title,Entrega no prazo,2017-03-23 00:00:00,2017-03-23 21:20:16
RV_89,OR_14051,5,No Title,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,2018-01-04 00:00:00,2018-01-05 23:30:00
RV_90,OR_62285,1,No Title,Pedi reembolso e sem resposta até momento ,2018-03-08 00:00:00,2018-03-08 12:27:34
RV_91,OR_28755,5,***** Recomendo,Super rápido.,2018-05-10 00:00:00,2018-05-11 03:08:49
RV_92,OR_61815,1,No Title,No Comment,2018-03-07 00:00:00,2018-03-07 15:32:23
RV_93,OR_15861,5,No Title,No Comment,2018-04-06 00:00:00,2018-04-08 18:42:33
RV_94,OR_27304,5,No Title,No Comment,2018-08-17 00:00:00,2018-08-31 03:13:36
RV_95,OR_68348,2,No Title,No Comment,2018-03-17 00:00:00,2018-03-17 09:29:47
RV_96,OR_64901,5,No Title,No Comment,2017-08-03 00:00:00,2017-08-03 23:40:22
RV_97,OR_37414,5,No Title,No Comment,2017-12-12 00:00:00,2017-12-13 22:58:34
RV_98,OR_25273,5,No Title,No Comment,2017-07-12 00:00:00,2017-07-13 01:02:28
RV_99,OR_60199,3,No Title,No Comment,2018-03-28 00:00:00,2018-03-31 03:25:49
RV_100,OR_50177,5,No Title,No Comment,2017-10-31 00:00:00,2017-11-06 18:43:24
RV_101,OR_76489,5,No Title,"Satisfeito
",2017-11-22 00:00:00,2017-11-22 14:45:40
RV_102,OR_16842,4,No Title,No Comment,2017-12-19 00:00:00,2017-12-22 12:43:53
RV_103,OR_76246,4,No Title,No Comment,2017-12-13 00:00:00,2017-12-15 14:41:16
RV_104,OR_69240,5,No Title,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",2017-06-24 00:00:00,2017-06-29 13:48:21
RV_105,OR_57717,3,Não recebi o produto.,No Comment,2018-08-25 00:00:00,2018-08-25 20:53:41
RV_106,OR_48804,5,No Title,No Comment,2018-06-21 00:00:00,2018-06-21 20:33:50
RV_107,OR_43270,1,No Title,No Comment,2018-04-22 00:00:00,2018-04-26 10:25:11
RV_108,OR_42779,5,No Title,No Comment,2018-05-10 00:00:00,2018-05-11 11:56:44
RV_109,OR_35268,5,OTIMO,OK RECOMENDO,2018-05-23 00:00:00,2018-05-28 12:48:45
RV_110,OR_50411,5,No Title,No Comment,2018-01-30 00:00:00,2018-01-30 18:19:27
RV_111,OR_71002,3,No Title,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",2018-01-16 00:00:00,2018-01-18 23:25:29
RV_112,OR_55990,5,No Title,"Produto de muito boa qualidade, chegou antes do prazo prometido",2017-12-17 00:00:00,2017-12-19 17:31:58
RV_113,OR_61856,5,No Title,No Comment,2017-10-24 00:00:00,2017-10-25 10:02:31
RV_114,OR_588,5,No Title,No Comment,2018-08-02 00:00:00,2018-08-03 04:55:37
RV_115,OR_92635,5,No Title,No Comment,2018-03-16 00:00:00,2018-03-17 02:34:05
RV_116,OR_26882,1,No Title,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",2018-01-04 00:00:00,2018-01-10 09:52:57
RV_117,OR_8462,5,No Title,"Entrega muito rápida
Parabéns",2017-08-29 00:00:00,2017-08-29 21:06:01
RV_118,OR_22040,5,No Title,No Comment,2017-10-26 00:00:00,2017-10-26 23:46:47
RV_119,OR_72689,5,No Title,No Comment,2018-01-10 00:00:00,2018-01-17 21:43:05
RV_120,OR_67409,1,No Title,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,2017-11-07 00:00:00,2017-11-08 21:54:58
RV_121,OR_90930,4,No Title,No Comment,2018-06-26 00:00:00,2018-06-26 19:47:07
RV_122,OR_48757,4,No Title,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",2017-12-16 00:00:00,2017-12-19 23:21:17
RV_123,OR_56681,1,No Title,No Comment,2017-11-23 00:00:00,2017-11-23 10:32:13
RV_124,OR_89467,4,No Title,No Comment,2018-07-13 00:00:00,2018-07-16 01:34:42
RV_125,OR_17906,5,No Title,No Comment,2017-07-27 00:00:00,2017-07-27 23:51:14
RV_126,OR_79055,4,No Title,No Comment,2018-08-10 00:00:00,2018-08-14 23:35:31
RV_127,OR_60333,5,No Title,No Comment,2017-09-14 00:00:00,2017-09-15 11:40:08
RV_128,OR_46167,5,No Title,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",2018-01-10 00:00:00,2018-01-11 07:47:10
RV_129,OR_72355,2,No Title,Demorou de mais pra entrega ,2017-12-17 00:00:00,2017-12-17 12:14:13
RV_130,OR_71444,5,No Title,No Comment,2017-12-27 00:00:00,2018-01-01 18:45:21
RV_131,OR_21077,5,No Title,super rapido a entrega .... chegou antes da data... ,2017-10-24 00:00:00,2017-10-25 19:36:57
RV_132,OR_93420,3,Entrega atrasou,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,2018-01-20 00:00:00,2018-05-15 00:45:28
RV_133,OR_32534,1,No Title,Não funciona não faz sincronismo,2017-09-17 00:00:00,2017-09-18 23:39:56
RV_134,OR_35576,5,No Title,Recomendo a todos os clientes,2016-10-22 00:00:00,2016-10-26 17:47:19
RV_135,OR_94332,4,No Title,No Comment,2017-10-10 00:00:00,2017-10-11 14:23:53
RV_136,OR_57098,3,No Title,Gostei ,2017-09-24 00:00:00,2017-09-25 14:09:58
RV_137,OR_21056,5,No Title,No Comment,2017-06-22 00:00:00,2017-06-22 23:36:13
RV_138,OR_50077,5,No Title,No Comment,2018-04-12 00:00:00,2018-04-13 11:56:19
RV_139,OR_7724,3,No Title,No Comment,2018-08-26 00:00:00,2018-08-28 15:04:49
RV_140,OR_42852,3,No Title,No Comment,2018-02-01 00:00:00,2018-02-01 06:26:39
RV_141,OR_78699,5,No Title,No Comment,2018-04-05 00:00:00,2018-04-05 23:19:58
RV_142,OR_19356,5,No Title,No Comment,2018-03-09 00:00:00,2018-03-11 15:27:10
RV_143,OR_16131,5,No Title,OTIMA,2018-04-19 00:00:00,2018-04-22 12:25:48
RV_144,OR_32637,5,No Title,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",2017-06-03 00:00:00,2017-06-04 02:22:55
RV_145,OR_73419,4,No Title,No Comment,2017-05-30 00:00:00,2017-05-31 14:13:00
RV_146,OR_82507,1,No Title,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",2017-08-22 00:00:00,2017-08-22 23:45:13
RV_147,OR_94096,5,No Title,No Comment,2018-05-16 00:00:00,2018-05-16 23:16:38
RV_148,OR_92968,3,No Title,No Comment,2017-11-15 00:00:00,2017-11-16 08:47:52
RV_149,OR_32477,4,No Title,No Comment,2017-08-18 00:00:00,2017-08-21 14:30:49
RV_150,OR_87075,1,No Title,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,2018-01-12 00:00:00,2018-01-13 00:28:49
RV_151,OR_33172,1,No Title,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",2018-04-05 00:00:00,2018-04-06 11:06:19
RV_152,OR_18874,5,No Title,Sempre compro na lannister.Pra mim é a melhor loja on-line,2018-03-14 00:00:00,2018-03-17 10:26:13
RV_153,OR_77611,5,No Title,Produto de qualidade excelente,2017-01-31 00:00:00,2017-02-01 16:56:49
RV_154,OR_18729,5,No Title,No Comment,2017-11-02 00:00:00,2017-11-02 15:30:03
RV_155,OR_37453,1,No Title,No Comment,2018-06-22 00:00:00,2018-06-22 20:59:02
RV_156,OR_46694,5,No Title,No Comment,2018-04-28 00:00:00,2018-04-29 12:38:06
RV_157,OR_95610,2,No Title,No Comment,2017-10-02 00:00:00,2017-10-04 23:54:09
RV_158,OR_4480,5,No Title,No Comment,2017-12-29 00:00:00,2017-12-29 19:51:26
RV_159,OR_43716,4,No Title,No Comment,2017-12-20 00:00:00,2017-12-22 21:00:16
RV_160,OR_3933,5,No Title,Ótimo custo-benefício,2017-09-14 00:00:00,2017-09-15 14:15:14
RV_161,OR_79894,5,No Title,OK,2017-11-19 00:00:00,2017-11-22 19:34:39
RV_162,OR_49178,5,No Title,No Comment,2017-12-02 00:00:00,2017-12-03 01:31:02
RV_163,OR_86658,3,No Title,No Comment,2017-12-13 00:00:00,2017-12-17 18:47:06
RV_164,OR_11004,5,muito boa,Gostei da atenção com a entrega,2018-04-27 00:00:00,2018-04-30 08:04:49
RV_165,OR_68322,5,No Title,No Comment,2018-08-04 00:00:00,2018-08-07 18:50:13
RV_166,OR_52444,5,No Title,No Comment,2018-08-21 00:00:00,2018-08-22 10:55:39
RV_167,OR_11781,4, 4 ," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",2018-05-15 00:00:00,2018-05-16 23:41:51
RV_168,OR_84109,1,Médio,A peça não serviu,2018-05-11 00:00:00,2018-05-14 14:08:04
RV_169,OR_72171,1,No Title,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,2018-03-29 00:00:00,2018-03-29 23:13:58
RV_170,OR_17743,1,No Title,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",2017-04-06 00:00:00,2017-04-09 18:25:12
RV_171,OR_78181,5,prazo entrega,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",2018-08-26 00:00:00,2018-08-29 02:48:21
RV_172,OR_30413,3,No Title,No Comment,2018-07-22 00:00:00,2018-07-24 13:21:55
RV_173,OR_11733,5,No Title,No Comment,2017-08-08 00:00:00,2017-08-10 19:27:20
RV_174,OR_8549,5,No Title,No Comment,2018-04-22 00:00:00,2018-04-24 18:35:52
RV_175,OR_18574,5,No Title,"Entregou no prazo certo, fiquei feliz com a compra que fiz",2017-06-23 00:00:00,2017-06-24 00:58:52
RV_176,OR_30443,5,No Title,No Comment,2018-03-11 00:00:00,2018-03-11 12:51:38
RV_177,OR_63970,4,No Title,No Comment,2017-07-25 00:00:00,2017-08-02 18:15:52
RV_178,OR_91536,5,No Title,No Comment,2018-05-05 00:00:00,2018-05-05 23:49:04
RV_179,OR_40491,5,No Title,Lindo relógio adorei,2017-05-31 00:00:00,2017-06-01 01:21:14
RV_180,OR_71177,5,No Title,No Comment,2018-05-12 00:00:00,2018-05-13 11:05:13
RV_181,OR_12356,3,No Title,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",2018-03-14 00:00:00,2018-03-16 20:26:10
RV_182,OR_34904,5,No Title,No Comment,2018-03-24 00:00:00,2018-03-26 12:38:02
RV_183,OR_95836,3,No Title,No Comment,2018-07-12 00:00:00,2018-07-13 18:08:46
RV_184,OR_22577,4,No Title,No Comment,2018-07-13 00:00:00,2018-07-18 13:32:03
RV_185,OR_72131,4,No Title,No Comment,2018-06-21 00:00:00,2018-06-22 01:00:54
RV_186,OR_97334,5,Super produto ,Muito bom alta qualidade!,2018-07-04 00:00:00,2018-07-05 00:56:21
RV_187,OR_18158,1,No Title,No Comment,2017-05-06 00:00:00,2017-05-09 11:19:51
RV_188,OR_34688,4,No Title,No Comment,2018-08-30 00:00:00,2018-08-30 18:04:07
RV_189,OR_8395,5,No Title,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",2018-04-10 00:00:00,2018-04-13 11:04:52
RV_190,OR_56457,5,No Title,Muito bom,2018-02-20 00:00:00,2018-02-21 09:42:27
RV_191,OR_93779,1,falta de produto e quebra,Faltou 1 produto e os que recebi 1 veio quebrado,2018-05-23 00:00:00,2018-05-23 22:23:00
RV_192,OR_4577,5,super recomendo,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",2018-07-07 00:00:00,2018-07-09 18:12:17
RV_193,OR_24947,4,No Title,No Comment,2017-08-29 00:00:00,2017-09-02 00:11:30
RV_194,OR_63946,4,No Title,No Comment,2018-07-27 00:00:00,2018-07-28 11:06:54
RV_195,OR_73075,4,No Title,No Comment,2017-10-06 00:00:00,2017-10-09 13:44:42
RV_196,OR_45312,5,No Title,No Comment,2018-02-23 00:00:00,2018-03-26 18:13:48
RV_197,OR_72282,3,No Title,No Comment,2017-09-06 00:00:00,2017-09-07 11:58:02
RV_198,OR_50041,1,não recebi ainda,aqui está descrevendo como entregue só que ate agora não recebi,2018-06-28 00:00:00,2018-06-29 16:34:46
RV_199,OR_13230,5,No Title,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",2016-10-19 00:00:00,2016-10-20 12:40:59
RV_200,OR_97326,5,No Title,Ainda não tive a oportunidade de testar,2017-11-23 00:00:00,2017-11-25 16:59:50
RV_201,OR_87365,5,No Title,No Comment,2018-03-25 00:00:00,2018-03-25 21:03:02
RV_202,OR_47699,3,recomendo,Comecei a usar agora ,2018-05-08 00:00:00,2018-05-10 13:57:17
RV_203,OR_1042,5,No Title,No Comment,2017-12-15 00:00:00,2017-12-15 21:51:08
RV_204,OR_50586,5,No Title,No Comment,2018-03-24 00:00:00,2018-03-24 21:06:25
RV_205,OR_81991,5,No Title,nada a declarar,2017-05-20 00:00:00,2017-05-22 11:22:58
RV_206,OR_75595,4,No Title,No Comment,2017-04-14 00:00:00,2017-04-15 06:22:26
RV_207,OR_79087,5,No Title,No Comment,2017-02-24 00:00:00,2017-04-01 02:29:39
RV_208,OR_97688,3,Nota3,"Comprar um produto correto na capa mas interno ser outro.???????
",2018-05-10 00:00:00,2018-05-11 01:15:28
RV_209,OR_27377,5,No Title,No Comment,2018-04-10 00:00:00,2018-04-11 13:50:47
RV_210,OR_95252,5,No Title,No Comment,2018-03-27 00:00:00,2018-04-01 13:58:42
RV_211,OR_29091,3,No Title,entrega super rapida,2017-12-13 00:00:00,2017-12-13 16:35:59
RV_212,OR_62245,5,No Title,No Comment,2018-06-06 00:00:00,2018-06-11 20:06:50
RV_213,OR_15495,3,Suspense,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",2018-05-24 00:00:00,2018-05-25 12:23:02
RV_214,OR_98395,5,No Title,O produto chegou muito rapido e de boa qualidade recomendo o produto,2018-03-09 00:00:00,2018-03-12 10:32:15
RV_215,OR_61252,3,No Title,No Comment,2018-01-23 00:00:00,2018-01-24 20:42:15
RV_216,OR_11784,5,No Title,No Comment,2017-10-10 00:00:00,2017-10-12 22:43:35
RV_217,OR_20425,5,No Title,No Comment,2018-07-12 00:00:00,2018-07-12 22:46:10
RV_218,OR_44502,1,No Title,No Comment,2018-08-17 00:00:00,2018-08-17 05:21:43
RV_219,OR_11408,3,No Title,No Comment,2018-01-31 00:00:00,2018-01-31 21:49:35
RV_220,OR_46175,5,No Title,No Comment,2018-07-11 00:00:00,2018-07-11 17:33:14
RV_221,OR_13346,5,Entrega antes do previsto,No Comment,2018-05-26 00:00:00,2018-05-28 22:46:27
RV_222,OR_31347,1,No Title,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",2017-12-22 00:00:00,2017-12-22 12:20:27
RV_223,OR_49422,1,No Title,No Comment,2018-02-24 00:00:00,2018-02-24 18:26:56
RV_224,OR_89027,1,No Title,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,2017-05-14 00:00:00,2017-05-19 10:38:27
RV_225,OR_13763,5,No Title,No Comment,2017-05-30 00:00:00,2017-05-31 11:19:56
RV_226,OR_9467,5,Recomendo,No Comment,2018-06-22 00:00:00,2018-06-24 23:07:08
RV_227,OR_57598,5,No Title,No Comment,2017-08-26 00:00:00,2017-08-27 12:18:45
RV_228,OR_91306,3,No Title,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,2018-02-16 00:00:00,2018-02-17 21:35:00
RV_229,OR_2692,5,Top,Recomendo,2018-08-22 00:00:00,2018-08-23 01:51:28
RV_230,OR_58777,4,No Title,Atendeu minha expectativa.,2018-02-24 00:00:00,2018-02-25 11:02:05
RV_231,OR_69198,5,No Title,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,2017-08-31 00:00:00,2017-09-01 02:38:17
RV_232,OR_96530,4,No Title,No Comment,2018-08-11 00:00:00,2018-08-13 13:48:01
RV_233,OR_23302,5,No Title,No Comment,2018-07-07 00:00:00,2018-07-09 22:00:14
RV_234,OR_57716,3,No Title,No Comment,2018-01-17 00:00:00,2018-01-17 23:00:28
RV_235,OR_95333,4,No Title,No Comment,2017-10-17 00:00:00,2017-10-20 01:10:27
RV_236,OR_10165,5,No Title,"otimo produto só nao veio manual, mas sem problemas.",2018-04-21 00:00:00,2018-04-24 14:26:37
