product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,product_category_name_english_encoded
PRO_139,consoles_games,56.0,235.0,1.0,100.0,16.0,3.0,11.0,consoles_games,16
PRO_140,esporte_lazer,50.0,329.0,2.0,150.0,16.0,18.0,16.0,sports_leisure,65
PRO_141,esporte_lazer,55.0,144.0,1.0,3775.0,18.0,13.0,16.0,sports_leisure,65
PRO_142,cool_stuff,59.0,797.0,2.0,1400.0,25.0,20.0,20.0,cool_stuff,20
PRO_143,consoles_games,53.0,439.0,5.0,900.0,22.0,7.0,18.0,consoles_games,16
PRO_144,relogios_presentes,60.0,438.0,2.0,250.0,20.0,12.0,20.0,watches_gifts,71
PRO_145,brinquedos,55.0,852.0,1.0,350.0,21.0,9.0,16.0,toys,69
PRO_146,unknown,51.0,595.0,1.0,200.0,20.0,20.0,20.0,unknown,70
PRO_147,bebes,39.0,805.0,3.0,1800.0,18.0,32.0,27.0,baby,6
PRO_148,moveis_sala,52.0,420.0,2.0,5050.0,50.0,8.0,50.0,furniture_living_room,40
PRO_149,automotivo,58.0,386.0,1.0,27100.0,50.0,50.0,50.0,auto,5
PRO_150,eletrodomesticos,50.0,273.0,1.0,1500.0,65.0,8.0,38.0,home_appliances,44
PRO_151,relogios_presentes,43.0,572.0,2.0,500.0,16.0,11.0,11.0,watches_gifts,71
PRO_152,cama_mesa_banho,52.0,700.0,2.0,350.0,16.0,10.0,16.0,bed_bath_table,7
PRO_153,automotivo,47.0,1548.0,3.0,500.0,16.0,12.0,17.0,auto,5
PRO_154,esporte_lazer,55.0,448.0,1.0,1000.0,20.0,20.0,20.0,sports_leisure,65
PRO_155,unknown,51.0,595.0,1.0,18500.0,41.0,30.0,41.0,unknown,70
PRO_156,brinquedos,51.0,410.0,2.0,300.0,24.0,11.0,24.0,toys,69
PRO_157,beleza_saude,59.0,257.0,1.0,250.0,16.0,2.0,20.0,health_beauty,43
PRO_158,beleza_saude,51.0,863.0,1.0,10700.0,40.0,40.0,40.0,health_beauty,43
PRO_159,utilidades_domesticas,29.0,290.0,1.0,1700.0,32.0,21.0,22.0,housewares,49
PRO_160,ferramentas_jardim,31.0,680.0,1.0,7700.0,39.0,28.0,25.0,garden_tools,42
PRO_161,esporte_lazer,57.0,785.0,4.0,5200.0,20.0,60.0,35.0,sports_leisure,65
PRO_162,telefonia,51.0,244.0,1.0,125.0,17.0,10.0,14.0,telephony,68
PRO_163,moveis_escritorio,50.0,2220.0,1.0,15700.0,58.0,28.0,58.0,office_furniture,57
PRO_164,relogios_presentes,53.0,599.0,2.0,350.0,16.0,11.0,11.0,watches_gifts,71
PRO_165,esporte_lazer,57.0,649.0,1.0,213.0,16.0,10.0,13.0,sports_leisure,65
PRO_166,fashion_bolsas_e_acessorios,30.0,401.0,3.0,150.0,16.0,11.0,11.0,fashion_bags_accessories,28
PRO_167,automotivo,35.0,907.0,3.0,18200.0,56.0,15.0,15.0,auto,5
PRO_168,utilidades_domesticas,38.0,390.0,1.0,850.0,18.0,21.0,15.0,housewares,49
PRO_169,casa_construcao,55.0,918.0,6.0,1050.0,16.0,20.0,16.0,home_construction,48
PRO_170,fashion_bolsas_e_acessorios,48.0,382.0,5.0,200.0,16.0,9.0,11.0,fashion_bags_accessories,28
PRO_171,utilidades_domesticas,32.0,42.0,1.0,300.0,16.0,15.0,11.0,housewares,49
PRO_172,informatica_acessorios,47.0,764.0,1.0,200.0,23.0,9.0,13.0,computers_accessories,15
PRO_173,esporte_lazer,52.0,406.0,1.0,800.0,20.0,25.0,25.0,sports_leisure,65
PRO_174,papelaria,50.0,198.0,2.0,200.0,24.0,7.0,14.0,stationery,66
PRO_175,esporte_lazer,50.0,853.0,1.0,698.0,46.0,10.0,14.0,sports_leisure,65
PRO_176,telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0,telephony,68
PRO_177,livros_interesse_geral,50.0,2913.0,3.0,1000.0,24.0,5.0,17.0,books_general_interest,8
PRO_178,informatica_acessorios,53.0,585.0,1.0,783.0,21.0,13.0,28.0,computers_accessories,15
PRO_179,perfumaria,48.0,1063.0,2.0,600.0,20.0,20.0,20.0,perfumery,59
PRO_180,brinquedos,47.0,181.0,1.0,11650.0,55.0,30.0,30.0,toys,69
PRO_181,construcao_ferramentas_ferramentas,42.0,369.0,1.0,400.0,16.0,2.0,11.0,costruction_tools_tools,22
PRO_182,brinquedos,25.0,274.0,1.0,3050.0,40.0,10.0,40.0,toys,69
PRO_183,telefonia,50.0,744.0,1.0,100.0,16.0,3.0,11.0,telephony,68
PRO_184,ferramentas_jardim,44.0,2395.0,1.0,16500.0,40.0,25.0,26.0,garden_tools,42
PRO_185,utilidades_domesticas,59.0,470.0,2.0,750.0,34.0,14.0,24.0,housewares,49
PRO_186,fashion_underwear_e_moda_praia,39.0,422.0,1.0,250.0,36.0,4.0,20.0,fashion_underwear_beach,33
PRO_187,malas_acessorios,59.0,413.0,3.0,2300.0,84.0,14.0,20.0,luggage_accessories,53
PRO_188,eletronicos,37.0,374.0,1.0,1350.0,33.0,12.0,26.0,electronics,26
PRO_189,utilidades_domesticas,22.0,388.0,3.0,530.0,17.0,20.0,20.0,housewares,49
PRO_190,automotivo,59.0,162.0,1.0,1300.0,20.0,20.0,20.0,auto,5
PRO_191,fashion_calcados,59.0,605.0,5.0,4000.0,57.0,14.0,36.0,fashion_shoes,31
PRO_192,esporte_lazer,52.0,234.0,4.0,8150.0,20.0,20.0,20.0,sports_leisure,65
PRO_193,construcao_ferramentas_construcao,57.0,272.0,1.0,2200.0,16.0,2.0,11.0,construction_tools_construction,17
PRO_194,beleza_saude,55.0,1029.0,1.0,1150.0,20.0,25.0,20.0,health_beauty,43
PRO_195,relogios_presentes,60.0,312.0,4.0,200.0,16.0,2.0,11.0,watches_gifts,71
PRO_196,moveis_decoracao,60.0,1068.0,3.0,400.0,16.0,20.0,16.0,furniture_decor,39
PRO_197,moveis_decoracao,63.0,244.0,4.0,600.0,29.0,12.0,23.0,furniture_decor,39
PRO_198,unknown,51.0,595.0,1.0,300.0,35.0,7.0,12.0,unknown,70
PRO_199,cama_mesa_banho,48.0,645.0,1.0,1200.0,16.0,10.0,16.0,bed_bath_table,7
PRO_200,cool_stuff,50.0,268.0,5.0,10664.0,61.0,63.0,35.0,cool_stuff,20
PRO_201,utilidades_domesticas,43.0,2148.0,2.0,1800.0,50.0,12.0,36.0,housewares,49
PRO_202,esporte_lazer,47.0,154.0,3.0,500.0,16.0,2.0,11.0,sports_leisure,65
PRO_203,papelaria,48.0,501.0,1.0,258.0,19.0,12.0,19.0,stationery,66
PRO_204,papelaria,59.0,209.0,1.0,1400.0,16.0,44.0,37.0,stationery,66
PRO_205,brinquedos,59.0,640.0,1.0,400.0,35.0,7.0,35.0,toys,69
PRO_206,climatizacao,58.0,655.0,5.0,1300.0,30.0,10.0,30.0,air_conditioning,1
PRO_207,cama_mesa_banho,55.0,315.0,2.0,1000.0,30.0,10.0,25.0,bed_bath_table,7
PRO_208,pet_shop,52.0,1290.0,3.0,1300.0,30.0,10.0,18.0,pet_shop,60
PRO_209,brinquedos,58.0,443.0,2.0,3305.0,38.0,36.0,19.0,toys,69
PRO_210,bebes,55.0,224.0,2.0,6000.0,75.0,15.0,50.0,baby,6
PRO_211,informatica_acessorios,50.0,281.0,4.0,300.0,35.0,5.0,25.0,computers_accessories,15
PRO_212,cama_mesa_banho,57.0,74.0,1.0,250.0,20.0,2.0,15.0,bed_bath_table,7
PRO_213,perfumaria,45.0,1003.0,2.0,400.0,18.0,11.0,11.0,perfumery,59
PRO_214,eletronicos,32.0,1274.0,1.0,250.0,16.0,10.0,30.0,electronics,26
PRO_215,brinquedos,57.0,1532.0,2.0,1250.0,29.0,19.0,22.0,toys,69
PRO_216,fashion_roupa_masculina,47.0,1026.0,2.0,950.0,40.0,6.0,40.0,fashion_male_clothing,30
PRO_217,pet_shop,54.0,261.0,6.0,2000.0,30.0,34.0,17.0,pet_shop,60
PRO_218,bebes,56.0,1395.0,7.0,13575.0,71.0,81.0,44.0,baby,6
PRO_219,beleza_saude,60.0,537.0,1.0,667.0,17.0,16.0,16.0,health_beauty,43
PRO_220,relogios_presentes,55.0,457.0,2.0,267.0,17.0,11.0,12.0,watches_gifts,71
PRO_221,cama_mesa_banho,60.0,609.0,2.0,1750.0,45.0,20.0,40.0,bed_bath_table,7
PRO_222,beleza_saude,52.0,1113.0,1.0,150.0,16.0,12.0,11.0,health_beauty,43
PRO_223,brinquedos,48.0,135.0,1.0,10550.0,65.0,7.0,45.0,toys,69
PRO_224,utilidades_domesticas,57.0,1298.0,1.0,1725.0,100.0,35.0,16.0,housewares,49
PRO_225,malas_acessorios,43.0,215.0,1.0,700.0,45.0,10.0,31.0,luggage_accessories,53
PRO_226,esporte_lazer,29.0,1318.0,1.0,400.0,34.0,16.0,16.0,sports_leisure,65
PRO_227,papelaria,23.0,146.0,3.0,300.0,30.0,10.0,20.0,stationery,66
PRO_228,casa_construcao,59.0,1582.0,1.0,5850.0,60.0,25.0,25.0,home_construction,48
PRO_229,relogios_presentes,47.0,687.0,1.0,267.0,17.0,11.0,13.0,watches_gifts,71
PRO_230,cama_mesa_banho,53.0,155.0,2.0,1500.0,39.0,12.0,25.0,bed_bath_table,7
PRO_231,cool_stuff,42.0,727.0,1.0,400.0,24.0,16.0,14.0,cool_stuff,20
PRO_232,esporte_lazer,54.0,3830.0,1.0,1300.0,31.0,32.0,31.0,sports_leisure,65
PRO_233,utilidades_domesticas,58.0,172.0,1.0,400.0,16.0,10.0,14.0,housewares,49
PRO_234,artes,32.0,195.0,1.0,150.0,25.0,2.0,19.0,art,2
PRO_235,beleza_saude,40.0,654.0,1.0,650.0,25.0,13.0,14.0,health_beauty,43
PRO_236,consoles_games,44.0,421.0,1.0,706.0,32.0,8.0,38.0,consoles_games,16
PRO_237,fashion_bolsas_e_acessorios,59.0,251.0,1.0,300.0,25.0,10.0,25.0,fashion_bags_accessories,28
PRO_238,cama_mesa_banho,41.0,242.0,1.0,4850.0,75.0,5.0,50.0,bed_bath_table,7
PRO_239,automotivo,51.0,1741.0,1.0,825.0,20.0,24.0,15.0,auto,5
PRO_240,informatica_acessorios,31.0,432.0,1.0,600.0,46.0,3.0,15.0,computers_accessories,15
PRO_241,esporte_lazer,53.0,527.0,2.0,700.0,23.0,9.0,11.0,sports_leisure,65
PRO_242,moveis_decoracao,51.0,1442.0,1.0,300.0,40.0,10.0,27.0,furniture_decor,39
PRO_243,utilidades_domesticas,55.0,471.0,2.0,1270.0,17.0,14.0,17.0,housewares,49
PRO_244,construcao_ferramentas_ferramentas,40.0,338.0,1.0,450.0,20.0,2.0,11.0,costruction_tools_tools,22
PRO_245,unknown,51.0,595.0,1.0,2200.0,16.0,2.0,11.0,unknown,70
PRO_246,eletrodomesticos,56.0,173.0,1.0,150.0,18.0,8.0,13.0,home_appliances,44
PRO_247,ferramentas_jardim,49.0,192.0,1.0,200.0,16.0,3.0,11.0,garden_tools,42
PRO_248,moveis_cozinha_area_de_servico_jantar_e_jardim,50.0,859.0,1.0,10893.0,33.0,88.0,44.0,kitchen_dining_laundry_garden_furniture,51
PRO_249,utilidades_domesticas,53.0,524.0,1.0,1800.0,25.0,7.0,20.0,housewares,49
PRO_250,brinquedos,29.0,566.0,2.0,1220.0,20.0,33.0,22.0,toys,69
PRO_251,beleza_saude,53.0,1368.0,6.0,360.0,30.0,19.0,22.0,health_beauty,43
PRO_252,eletronicos,52.0,424.0,1.0,175.0,22.0,11.0,15.0,electronics,26
PRO_253,pet_shop,50.0,852.0,1.0,1900.0,50.0,13.0,70.0,pet_shop,60
PRO_254,esporte_lazer,37.0,621.0,5.0,250.0,20.0,20.0,20.0,sports_leisure,65
PRO_255,bebes,58.0,1261.0,3.0,6950.0,85.0,11.0,50.0,baby,6
PRO_256,utilidades_domesticas,57.0,1094.0,1.0,1100.0,55.0,5.0,40.0,housewares,49
PRO_257,bebes,64.0,882.0,5.0,300.0,17.0,7.0,24.0,baby,6
PRO_258,moveis_escritorio,41.0,2261.0,1.0,16500.0,58.0,28.0,58.0,office_furniture,57
PRO_259,malas_acessorios,28.0,453.0,1.0,300.0,16.0,23.0,19.0,luggage_accessories,53
PRO_260,eletronicos,25.0,813.0,1.0,1836.0,61.0,6.0,24.0,electronics,26
PRO_261,beleza_saude,59.0,822.0,1.0,175.0,18.0,22.0,16.0,health_beauty,43
PRO_262,brinquedos,53.0,579.0,1.0,675.0,22.0,24.0,21.0,toys,69
PRO_263,esporte_lazer,58.0,568.0,4.0,200.0,26.0,5.0,20.0,sports_leisure,65
PRO_264,industria_comercio_e_negocios,58.0,1058.0,1.0,1200.0,30.0,20.0,30.0,industry_commerce_and_business,50
PRO_265,informatica_acessorios,32.0,1074.0,2.0,200.0,39.0,2.0,30.0,computers_accessories,15
PRO_266,moveis_escritorio,46.0,1193.0,2.0,16100.0,63.0,61.0,24.0,office_furniture,57
PRO_267,telefonia,51.0,443.0,1.0,117.0,19.0,4.0,12.0,telephony,68
PRO_268,telefonia_fixa,27.0,1217.0,1.0,455.0,36.0,18.0,27.0,fixed_telephony,34
PRO_269,cama_mesa_banho,55.0,613.0,1.0,550.0,16.0,10.0,16.0,bed_bath_table,7
PRO_270,fashion_calcados,54.0,404.0,4.0,750.0,22.0,12.0,33.0,fashion_shoes,31
PRO_271,cool_stuff,43.0,447.0,2.0,586.0,18.0,11.0,13.0,cool_stuff,20
PRO_272,construcao_ferramentas_iluminacao,57.0,919.0,6.0,540.0,16.0,27.0,16.0,construction_tools_lights,18
