customer_id,customer_zip_code_prefix,customer_city,customer_state,customer_state_encoded,customer_city_encoded
CUS_56,79804,dourados,MS,11,1225
CUS_57,5017,sao paulo,SP,25,3597
CUS_58,75388,trindade,GO,8,3910
CUS_59,85808,cascavel,PR,17,867
CUS_60,60140,fortaleza,CE,5,1374
CUS_61,72270,brasilia,DF,6,558
CUS_62,2075,sao paulo,SP,25,3597
CUS_63,96015,pelotas,RS,22,2787
CUS_64,90010,porto alegre,RS,22,2964
CUS_65,22440,rio de janeiro,RJ,18,3155
CUS_66,13323,salto,SP,25,3238
CUS_67,30190,belo horizonte,MG,10,453
CUS_68,13212,jundiai,SP,25,2010
CUS_69,29307,cachoeiro de itapemirim,ES,7,632
CUS_70,12280,cacapava,SP,25,615
CUS_71,60336,fortaleza,CE,5,1374
CUS_72,11310,sao vicente,SP,25,3638
CUS_73,38408,uberlandia,MG,10,3950
CUS_74,37720,botelhos,MG,10,545
CUS_75,24431,sao goncalo,RJ,18,3471
CUS_76,5890,sao paulo,SP,25,3597
CUS_77,3733,sao paulo,SP,25,3597
CUS_78,83709,araucaria,PR,17,276
CUS_79,11347,sao vicente,SP,25,3638
CUS_80,26272,nova iguacu,RJ,18,2506
CUS_81,5415,sao paulo,SP,25,3597
CUS_82,59655,areia branca,RN,19,286
CUS_83,4548,sao paulo,SP,25,3597
CUS_84,28010,campos dos goytacazes,RJ,18,740
CUS_85,13573,sao carlos,SP,25,3434
CUS_86,2175,sao paulo,SP,25,3597
CUS_87,37500,itajuba,MG,10,1772
CUS_88,90670,porto alegre,RS,22,2964
CUS_89,9890,sao bernardo do campo,SP,25,3428
CUS_90,13321,salto,SP,25,3238
CUS_91,44380,cruz das almas,BA,4,1122
CUS_92,27700,vassouras,RJ,18,4029
CUS_93,44033,feira de santana,BA,4,1324
CUS_94,4537,sao paulo,SP,25,3597
CUS_95,71540,brasilia,DF,6,558
CUS_96,13569,sao carlos,SP,25,3434
CUS_97,5565,sao paulo,SP,25,3597
CUS_98,3636,sao paulo,SP,25,3597
CUS_99,24120,niteroi,RJ,18,2461
CUS_100,65058,sao luis,MA,9,3566
CUS_101,2983,sao paulo,SP,25,3597
CUS_102,4105,sao paulo,SP,25,3597
CUS_103,89260,jaragua do sul,SC,23,1936
CUS_104,62016,sobral,CE,5,3748
CUS_105,35500,divinopolis,MG,10,1190
CUS_106,8743,mogi das cruzes,SP,25,2341
CUS_107,71928,brasilia,DF,6,558
CUS_108,4938,sao paulo,SP,25,3597
CUS_109,2209,sao paulo,SP,25,3597
CUS_110,25850,paraiba do sul,RJ,18,2673
CUS_111,53437,paulista,PE,15,2746
CUS_112,4710,sao paulo,SP,25,3597
CUS_113,6382,carapicuiba,SP,25,820
CUS_114,2632,sao paulo,SP,25,3597
CUS_115,95765,bom principio,RS,22,521
CUS_116,2631,sao paulo,SP,25,3597
CUS_117,36780,astolfo dutra,MG,10,325
CUS_118,80050,curitiba,PR,17,1143
CUS_119,30664,belo horizonte,MG,10,453
CUS_120,86990,marialva,PR,17,2229
CUS_121,8490,sao paulo,SP,25,3597
CUS_122,15015,sao jose do rio preto,SP,25,3549
CUS_123,28909,cabo frio,RJ,18,609
CUS_124,32140,contagem,MG,10,1041
CUS_125,38410,uberlandia,MG,10,3950
CUS_126,86640,cafeara,PR,17,644
CUS_127,91340,porto alegre,RS,22,2964
CUS_128,14600,sao joaquim da barra,SP,25,3512
CUS_129,85854,foz do iguacu,PR,17,1378
CUS_130,30421,belo horizonte,MG,10,453
CUS_131,9862,sao bernardo do campo,SP,25,3428
CUS_132,24431,sao goncalo,RJ,18,3471
CUS_133,8686,suzano,SP,25,3770
CUS_134,7243,guarulhos,SP,25,1529
CUS_135,89120,timbo,SC,23,3862
CUS_136,88348,camboriu,SC,23,687
CUS_137,95340,nova bassano,RS,22,2481
CUS_138,96215,rio grande,RS,22,3167
CUS_139,71665,brasilia,DF,6,558
CUS_140,12929,braganca paulista,SP,25,552
CUS_141,78600,barra do garcas,MT,12,403
CUS_142,4960,sao paulo,SP,25,3597
CUS_143,6835,embu,SP,25,1248
CUS_144,9784,sao bernardo do campo,SP,25,3428
CUS_145,73020,brasilia,DF,6,558
CUS_146,88840,urussanga,SC,23,3991
CUS_147,37589,silvianopolis,MG,10,3732
CUS_148,5874,sao paulo,SP,25,3597
CUS_149,39505,gameleiras,MG,10,1409
CUS_150,66050,belem,PA,13,448
CUS_151,37701,pocos de caldas,MG,10,2925
CUS_152,32070,contagem,MG,10,1041
CUS_153,11065,santos,SP,25,3415
CUS_154,12970,piracaia,SP,25,2864
CUS_155,22251,rio de janeiro,RJ,18,3155
CUS_156,11035,santos,SP,25,3415
CUS_157,78557,sinop,MT,12,3740
CUS_158,11440,guaruja,SP,25,1527
CUS_159,6401,barueri,SP,25,430
CUS_160,5590,sao paulo,SP,25,3597
CUS_161,95770,feliz,RS,22,1330
CUS_162,4679,sao paulo,SP,25,3597
CUS_163,30330,belo horizonte,MG,10,453
CUS_164,12270,jambeiro,SP,25,1915
CUS_165,15050,sao jose do rio preto,SP,25,3549
CUS_166,35160,ipatinga,MG,10,1686
CUS_167,17602,tupa,SP,25,3924
CUS_168,4427,sao paulo,SP,25,3597
CUS_169,70750,brasilia,DF,6,558
CUS_170,89031,blumenau,SC,23,480
CUS_171,15275,moncoes,SP,25,2350
CUS_172,22290,rio de janeiro,RJ,18,3155
CUS_173,3563,sao paulo,SP,25,3597
CUS_174,88330,balneario camboriu,SC,23,361
CUS_175,20030,rio de janeiro,RJ,18,3155
CUS_176,4723,sao paulo,SP,25,3597
CUS_177,65430,vargem grande,MA,9,4011
CUS_178,79130,rio brilhante,MS,11,3147
CUS_179,36855,eugenopolis,MG,10,1306
CUS_180,66055,belem,PA,13,448
CUS_181,15054,sao jose do rio preto,SP,25,3549
CUS_182,13142,paulinia,SP,25,2744
CUS_183,3951,sao paulo,SP,25,3597
CUS_184,13214,jundiai,SP,25,2010
CUS_185,3127,sao paulo,SP,25,3597
CUS_186,9030,santo andre,SP,25,3375
CUS_187,12240,sao jose dos campos,SP,25,3554
CUS_188,22251,rio de janeiro,RJ,18,3155
CUS_189,13045,campinas,SP,25,707
CUS_190,30830,belo horizonte,MG,10,453
CUS_191,86806,apucarana,PR,17,222
CUS_192,52070,recife,PE,15,3086
CUS_193,6290,osasco,SP,25,2594
CUS_194,13270,valinhos,SP,25,4002
CUS_195,9040,santo andre,SP,25,3375
CUS_196,69049,manaus,AM,2,2185
CUS_197,95595,cidreira,RS,22,958
CUS_198,20561,rio de janeiro,RJ,18,3155
CUS_199,97700,santiago,RS,22,3369
CUS_200,8340,sao paulo,SP,25,3597
CUS_201,97340,sao sepe,RS,22,3630
CUS_202,78580,alta floresta,MT,12,100
CUS_203,7191,guarulhos,SP,25,1529
CUS_204,54430,jaboatao dos guararapes,PE,15,1874
CUS_205,5451,sao paulo,SP,25,3597
CUS_206,29395,ibatiba,ES,7,1569
CUS_207,13188,hortolandia,SP,25,1553
CUS_208,2376,sao paulo,SP,25,3597
CUS_209,6719,cotia,SP,25,1092
CUS_210,27915,macae,RJ,18,2139
CUS_211,89868,saudades,SC,23,3660
CUS_212,22220,rio de janeiro,RJ,18,3155
CUS_213,68908,macapa,AP,3,2143
CUS_214,18160,salto de pirapora,SP,25,3240
CUS_215,6764,taboao da serra,SP,25,3775
CUS_216,75570,bom jesus,GO,8,507
CUS_217,95124,caxias do sul,RS,22,900
CUS_218,38415,uberlandia,MG,10,3950
CUS_219,18900,santa cruz do rio pardo,SP,25,3281
CUS_220,9950,diadema,SP,25,1172
CUS_221,45320,santa ines,BA,4,3294
CUS_222,23075,rio de janeiro,RJ,18,3155
CUS_223,48700,serrinha,BA,4,3708
CUS_224,18112,votorantim,SP,25,4098
CUS_225,13185,hortolandia,SP,25,1553
CUS_226,27580,itatiaia,RJ,18,1837
CUS_227,25245,duque de caxias,RJ,18,1235
CUS_228,28375,varre-sai,RJ,18,4019
CUS_229,21615,rio de janeiro,RJ,18,3155
CUS_230,95095,caxias do sul,RS,22,900
CUS_231,20250,rio de janeiro,RJ,18,3155
CUS_232,29101,vila velha,ES,7,4074
CUS_233,13053,campinas,SP,25,707
CUS_234,23860,mangaratiba,RJ,18,2192
CUS_235,12942,atibaia,SP,25,330
CUS_236,5450,sao paulo,SP,25,3597
CUS_237,41706,salvador,BA,4,3247
CUS_238,57046,maceio,AL,1,2150
CUS_239,91350,porto alegre,RS,22,2964
CUS_240,22620,rio de janeiro,RJ,18,3155
CUS_241,16204,birigui,SP,25,476
CUS_242,14401,franca,SP,25,1382
CUS_243,25675,petropolis,RJ,18,2815
CUS_244,24220,niteroi,RJ,18,2461
CUS_245,90240,porto alegre,RS,22,2964
CUS_246,13520,sao pedro,SP,25,3600
CUS_247,84200,jaguariaiva,PR,17,1905
CUS_248,21515,rio de janeiro,RJ,18,3155
CUS_249,7847,franco da rocha,SP,25,1390
CUS_250,3609,sao paulo,SP,25,3597
CUS_251,72220,brasilia,DF,6,558
CUS_252,12280,cacapava,SP,25,615
CUS_253,13212,jundiai,SP,25,2010
CUS_254,41480,salvador,BA,4,3247
CUS_255,12420,pindamonhangaba,SP,25,2840
CUS_256,84500,irati,PR,17,1724
CUS_257,18380,ribeira,SP,25,3120
CUS_258,35160,ipatinga,MG,10,1686
CUS_259,4455,sao paulo,SP,25,3597
CUS_260,36200,barbacena,MG,10,386
CUS_261,55700,limoeiro,PE,15,2100
CUS_262,76974,espigao do oeste,RO,20,1282
CUS_263,26155,belford roxo,RJ,18,450
CUS_264,12215,sao jose dos campos,SP,25,3554
CUS_265,70770,brasilia,DF,6,558
CUS_266,35171,coronel fabriciano,MG,10,1062
CUS_267,9960,diadema,SP,25,1172
CUS_268,72331,brasilia,DF,6,558
CUS_269,72225,brasilia,DF,6,558
CUS_270,11740,itanhaem,SP,25,1784
CUS_271,74825,goiania,GO,8,1445
CUS_272,14709,bebedouro,SP,25,440
CUS_273,13465,americana,SP,25,151
CUS_274,41308,salvador,BA,4,3247
CUS_275,36500,uba,MG,10,3941
CUS_276,86700,arapongas,PR,17,257
CUS_277,13287,vinhedo,SP,25,4076
CUS_278,88304,itajai,SC,23,1768
CUS_279,79823,dourados,MS,11,1225
CUS_280,17033,bauru,SP,25,438
CUS_281,14850,pradopolis,SP,25,3001
CUS_282,5171,sao paulo,SP,25,3597
CUS_283,78325,aripuana,MT,12,296
CUS_284,12900,braganca paulista,SP,25,552
CUS_285,4374,sao paulo,SP,25,3597
CUS_286,45840,guaratinga,BA,4,1520
CUS_287,4190,sao paulo,SP,25,3597
CUS_288,79904,ponta pora,MS,11,2937
CUS_289,16011,aracatuba,SP,25,231
CUS_290,27265,volta redonda,RJ,18,4097
CUS_291,87025,maringa,PR,17,2242
CUS_292,7197,guarulhos,SP,25,1529
CUS_293,1527,sao paulo,SP,25,3597
CUS_294,4845,sao paulo,SP,25,3597
CUS_295,14802,araraquara,SP,25,265
CUS_296,35367,matipo,MG,10,2271
CUS_297,24230,niteroi,RJ,18,2461
CUS_298,36205,barbacena,MG,10,386
CUS_299,91130,porto alegre,RS,22,2964
CUS_300,95500,santo antonio da patrulha,RS,22,3379
CUS_301,1230,sao paulo,SP,25,3597
CUS_302,91760,porto alegre,RS,22,2964
CUS_303,27351,barra mansa,RJ,18,413
CUS_304,60181,fortaleza,CE,5,1374
CUS_305,39100,diamantina,MG,10,1175
CUS_306,30330,belo horizonte,MG,10,453
CUS_307,71505,brasilia,DF,6,558
CUS_308,87050,maringa,PR,17,2242
CUS_309,41720,salvador,BA,4,3247
CUS_310,4003,sao paulo,SP,25,3597
CUS_311,27913,macae,RJ,18,2139
CUS_312,5792,sao paulo,SP,25,3597
CUS_313,18120,mairinque,SP,25,2171
CUS_314,31615,belo horizonte,MG,10,453
CUS_315,85790,capitao leonidas marques,PR,17,802
CUS_316,20735,rio de janeiro,RJ,18,3155
CUS_317,37950,sao sebastiao do paraiso,MG,10,3627
CUS_318,22240,rio de janeiro,RJ,18,3155
CUS_319,25645,petropolis,RJ,18,2815
CUS_320,2802,sao paulo,SP,25,3597
CUS_321,4744,sao paulo,SP,25,3597
CUS_322,3704,sao paulo,SP,25,3597
CUS_323,13416,piracicaba,SP,25,2867
CUS_324,26115,belford roxo,RJ,18,450
CUS_325,73035,brasilia,DF,6,558
CUS_326,74580,goiania,GO,8,1445
CUS_327,97590,rosario do sul,RS,22,3211
CUS_328,23820,itaguai,RJ,18,1755
CUS_329,3579,sao paulo,SP,25,3597
CUS_330,11420,guaruja,SP,25,1527
CUS_331,35774,paraopeba,MG,10,2698
CUS_332,9271,santo andre,SP,25,3375
CUS_333,13041,campinas,SP,25,707
CUS_334,1321,sao paulo,SP,25,3597
CUS_335,20240,rio de janeiro,RJ,18,3155
CUS_336,31555,belo horizonte,MG,10,453
CUS_337,85012,guarapuava,PR,17,1515
CUS_338,39885,crisolita,MG,10,1103
CUS_339,27175,pirai,RJ,18,2869
CUS_340,57062,maceio,AL,1,2150
CUS_341,29903,linhares,ES,7,2106
CUS_342,17120,agudos,SP,25,59
CUS_343,2435,sao paulo,SP,25,3597
CUS_344,4116,sao paulo,SP,25,3597
CUS_345,21010,rio de janeiro,RJ,18,3155
CUS_346,25545,sao joao de meriti,RJ,18,3493
CUS_347,3105,sao paulo,SP,25,3597
CUS_348,21616,rio de janeiro,RJ,18,3155
CUS_349,88370,navegantes,SC,23,2446
CUS_350,13641,pirassununga,SP,25,2887
CUS_351,9686,sao bernardo do campo,SP,25,3428
CUS_352,89694,faxinal dos guedes,SC,23,1319
CUS_353,7251,guarulhos,SP,25,1529
CUS_354,71908,brasilia,DF,6,558
CUS_355,72300,brasilia,DF,6,558
CUS_356,88805,criciuma,SC,23,1102
CUS_357,29830,nova venecia,ES,7,2541
CUS_358,99010,passo fundo,RS,22,2723
CUS_359,2230,sao paulo,SP,25,3597
CUS_360,38400,uberlandia,MG,10,3950
CUS_361,6386,carapicuiba,SP,25,820
CUS_362,20780,rio de janeiro,RJ,18,3155
CUS_363,38950,ibia,MG,10,1572
CUS_364,74986,aparecida de goiania,GO,8,208
CUS_365,1310,sao paulo,SP,25,3597
CUS_366,11045,santos,SP,25,3415
CUS_367,36900,manhuacu,MG,10,2194
CUS_368,13178,sumare,SP,25,3765
CUS_369,68371,altamira,PA,13,102
CUS_370,74423,goiania,GO,8,1445
CUS_371,22231,rio de janeiro,RJ,18,3155
CUS_372,88110,sao jose,SC,23,3520
CUS_373,3718,sao paulo,SP,25,3597
CUS_374,28495,aperibe,RJ,18,213
CUS_375,11320,sao vicente,SP,25,3638
CUS_376,16010,aracatuba,SP,25,231
CUS_377,78015,cuiaba,MT,12,1133
CUS_378,92320,canoas,RS,22,772
CUS_379,32140,contagem,MG,10,1041
CUS_380,31330,belo horizonte,MG,10,453
CUS_381,5093,sao paulo,SP,25,3597
CUS_382,30441,belo horizonte,MG,10,453
CUS_383,11547,cubatao,SP,25,1131
CUS_384,87030,maringa,PR,17,2242
CUS_385,3923,sao paulo,SP,25,3597
CUS_386,13232,campo limpo paulista,SP,25,728
CUS_387,86181,cambe,PR,17,684
CUS_388,8576,itaquaquecetuba,SP,25,1828
CUS_389,9551,sao caetano do sul,SP,25,3433
CUS_390,12243,sao jose dos campos,SP,25,3554
CUS_391,5894,sao paulo,SP,25,3597
CUS_392,3574,sao paulo,SP,25,3597
CUS_393,39404,montes claros,MG,10,2386
CUS_394,40323,salvador,BA,4,3247
CUS_395,30240,belo horizonte,MG,10,453
CUS_396,24240,niteroi,RJ,18,2461
CUS_397,22440,rio de janeiro,RJ,18,3155
CUS_398,7020,guarulhos,SP,25,1529
CUS_399,5596,sao paulo,SP,25,3597
CUS_400,35935,sao goncalo do rio abaixo,MG,10,3475
CUS_401,86600,rolandia,PR,17,3197
CUS_402,37410,tres coracoes,MG,10,3897
CUS_403,96570,cacapava do sul,RS,22,616
CUS_404,2435,sao paulo,SP,25,3597
CUS_405,1424,sao paulo,SP,25,3597
CUS_406,1537,sao paulo,SP,25,3597
CUS_407,14050,ribeirao preto,SP,25,3132
CUS_408,24722,sao goncalo,RJ,18,3471
CUS_409,36680,sao joao nepomuceno,MG,10,3510
CUS_410,6722,cotia,SP,25,1092
CUS_411,24220,niteroi,RJ,18,2461
CUS_412,92035,canoas,RS,22,772
CUS_413,22451,rio de janeiro,RJ,18,3155
CUS_414,74160,goiania,GO,8,1445
CUS_415,13610,leme,SP,25,2087
CUS_416,13600,araras,SP,25,266
CUS_417,13201,jundiai,SP,25,2010
CUS_418,55525,cortes,PE,15,1079
CUS_419,35164,ipatinga,MG,10,1686
CUS_420,3183,sao paulo,SP,25,3597
CUS_421,14051,ribeirao preto,SP,25,3132
CUS_422,88351,brusque,SC,23,583
CUS_423,60055,fortaleza,CE,5,1374
CUS_424,95780,montenegro,RS,22,2385
CUS_425,76630,itaberai,GO,8,1739
CUS_426,12413,pindamonhangaba,SP,25,2840
CUS_427,72620,brasilia,DF,6,558
CUS_428,14270,santa rosa de viterbo,SP,25,3336
CUS_429,73780,agua fria de goias,GO,8,41
CUS_430,11065,santos,SP,25,3415
CUS_431,99150,marau,RS,22,2218
CUS_432,35790,curvelo,MG,10,1152
CUS_433,24060,niteroi,RJ,18,2461
CUS_434,36080,juiz de fora,MG,10,2005
CUS_435,38408,uberlandia,MG,10,3950
CUS_436,13843,mogi-guacu,SP,25,2343
CUS_437,24350,niteroi,RJ,18,2461
CUS_438,8150,sao paulo,SP,25,3597
CUS_439,2559,sao paulo,SP,25,3597
CUS_440,3755,sao paulo,SP,25,3597
CUS_441,1227,sao paulo,SP,25,3597
CUS_442,30575,belo horizonte,MG,10,453
CUS_443,6286,osasco,SP,25,2594
CUS_444,4001,sao paulo,SP,25,3597
CUS_445,12503,guaratingueta,SP,25,1521
CUS_446,9895,sao bernardo do campo,SP,25,3428
CUS_447,83209,paranagua,PR,17,2688
CUS_448,16403,lins,SP,25,2107
CUS_449,4401,sao paulo,SP,25,3597
CUS_450,93700,campo bom,RS,22,717
CUS_451,14170,sertaozinho,SP,25,3716
CUS_452,2846,sao paulo,SP,25,3597
CUS_453,79640,tres lagoas,MS,11,3903
CUS_454,6765,taboao da serra,SP,25,3775
CUS_455,32044,contagem,MG,10,1041
CUS_456,24230,niteroi,RJ,18,2461
CUS_457,9250,santo andre,SP,25,3375
CUS_458,4160,sao paulo,SP,25,3597
CUS_459,17208,jau,SP,25,1952
CUS_460,81250,curitiba,PR,17,1143
CUS_461,95780,montenegro,RS,22,2385
CUS_462,88106,sao jose,SC,23,3520
CUS_463,78307,campos de julio,MT,12,738
CUS_464,28999,saquarema,RJ,18,3649
CUS_465,9530,sao caetano do sul,SP,25,3433
CUS_466,13160,artur nogueira,SP,25,314
CUS_467,48950,uaua,BA,4,3940
CUS_468,4342,sao paulo,SP,25,3597
CUS_469,6624,jandira,SP,25,1921
CUS_470,30431,belo horizonte,MG,10,453
CUS_471,4182,sao paulo,SP,25,3597
CUS_472,4862,sao paulo,SP,25,3597
CUS_473,13275,valinhos,SP,25,4002
CUS_474,89705,concordia,SC,23,1022
CUS_475,28625,nova friburgo,RJ,18,2501
CUS_476,18051,sorocaba,SP,25,3758
CUS_477,20550,rio de janeiro,RJ,18,3155
CUS_478,35430,ponte nova,MG,10,2944
CUS_479,89245,araquari,SC,23,262
CUS_480,12233,sao jose dos campos,SP,25,3554
CUS_481,36881,muriae,MG,10,2426
CUS_482,2302,sao paulo,SP,25,3597
CUS_483,6455,barueri,SP,25,430
CUS_484,9061,santo andre,SP,25,3375
CUS_485,88372,navegantes,SC,23,2446
CUS_486,34004,nova lima,MG,10,2512
CUS_487,75400,inhumas,GO,8,1677
CUS_488,28250,italva,RJ,18,1774
CUS_489,2082,sao paulo,SP,25,3597
CUS_490,25802,tres rios,RJ,18,3907
CUS_491,26185,belford roxo,RJ,18,450
CUS_492,97030,santa maria,RS,22,3307
CUS_493,45585,itagiba,BA,4,1751
CUS_494,88054,florianopolis,SC,23,1358
CUS_495,4717,sao paulo,SP,25,3597
CUS_496,38600,paracatu,MG,10,2667
CUS_497,22410,rio de janeiro,RJ,18,3155
CUS_498,82310,curitiba,PR,17,1143
CUS_499,22753,rio de janeiro,RJ,18,3155
CUS_500,89825,xaxim,SC,23,4112
CUS_501,20540,rio de janeiro,RJ,18,3155
CUS_502,9250,santo andre,SP,25,3375
CUS_503,85301,laranjeiras do sul,PR,17,2076
CUS_504,4704,sao paulo,SP,25,3597
CUS_505,8080,sao paulo,SP,25,3597
CUS_506,62740,itapiuna,CE,5,1819
CUS_507,8072,sao paulo,SP,25,3597
CUS_508,7143,guarulhos,SP,25,1529
CUS_509,13050,campinas,SP,25,707
CUS_510,52120,recife,PE,15,3086
CUS_511,14055,ribeirao preto,SP,25,3132
CUS_512,35500,divinopolis,MG,10,1190
CUS_513,4772,sao paulo,SP,25,3597
CUS_514,13403,piracicaba,SP,25,2867
CUS_515,73808,formosa,GO,8,1366
CUS_516,24220,niteroi,RJ,18,2461
CUS_517,88058,florianopolis,SC,23,1358
CUS_518,35430,ponte nova,MG,10,2944
CUS_519,24315,niteroi,RJ,18,2461
CUS_520,13400,piracicaba,SP,25,2867
CUS_521,79130,rio brilhante,MS,11,3147
CUS_522,2365,sao paulo,SP,25,3597
CUS_523,3562,sao paulo,SP,25,3597
CUS_524,4571,sao paulo,SP,25,3597
CUS_525,16202,birigui,SP,25,476
CUS_526,93900,ivoti,RS,22,1873
CUS_527,41820,salvador,BA,4,3247
CUS_528,48903,juazeiro,BA,4,1999
CUS_529,84025,ponta grossa,PR,17,2936
CUS_530,29830,nova venecia,ES,7,2541
CUS_531,58407,campina grande,PB,14,702
CUS_532,22280,rio de janeiro,RJ,18,3155
CUS_533,6140,osasco,SP,25,2594
CUS_534,6056,osasco,SP,25,2594
CUS_535,18110,votorantim,SP,25,4098
CUS_536,4561,sao paulo,SP,25,3597
CUS_537,9321,maua,SP,25,2282
CUS_538,56000,salgueiro,PE,15,3231
CUS_539,12246,sao jose dos campos,SP,25,3554
CUS_540,20011,rio de janeiro,RJ,18,3155
CUS_541,12604,lorena,SP,25,2114
CUS_542,3546,sao paulo,SP,25,3597
CUS_543,24750,sao goncalo,RJ,18,3471
CUS_544,11432,guaruja,SP,25,1527
CUS_545,26083,nova iguacu,RJ,18,2506
CUS_546,2114,sao paulo,SP,25,3597
CUS_547,60834,fortaleza,CE,5,1374
CUS_548,85910,toledo,PR,17,3874
CUS_549,24360,niteroi,RJ,18,2461
CUS_550,28943,sao pedro da aldeia,RJ,18,3602
CUS_551,81670,curitiba,PR,17,1143
CUS_552,9861,sao bernardo do campo,SP,25,3428
CUS_553,22631,rio de janeiro,RJ,18,3155
CUS_554,22783,rio de janeiro,RJ,18,3155
CUS_555,75265,vianopolis,GO,8,4050
CUS_556,57311,arapiraca,AL,1,254
CUS_557,45810,porto seguro,BA,4,2983
CUS_558,27251,volta redonda,RJ,18,4097
CUS_559,1536,sao paulo,SP,25,3597
CUS_560,1455,sao paulo,SP,25,3597
CUS_561,81540,curitiba,PR,17,1143
CUS_562,24724,sao goncalo,RJ,18,3471
CUS_563,6114,osasco,SP,25,2594
CUS_564,1224,sao paulo,SP,25,3597
CUS_565,26265,nova iguacu,RJ,18,2506
CUS_566,6454,barueri,SP,25,430
CUS_567,76875,ariquemes,RO,20,297
CUS_568,89150,presidente getulio,SC,23,3013
CUS_569,72548,brasilia,DF,6,558
CUS_570,31872,belo horizonte,MG,10,453
CUS_571,22440,rio de janeiro,RJ,18,3155
CUS_572,88052,florianopolis,SC,23,1358
CUS_573,83880,rio negro,PR,17,3174
CUS_574,32260,contagem,MG,10,1041
CUS_575,95050,caxias do sul,RS,22,900
CUS_576,91370,porto alegre,RS,22,2964
CUS_577,60135,fortaleza,CE,5,1374
CUS_578,20270,rio de janeiro,RJ,18,3155
CUS_579,97110,santa maria,RS,22,3307
CUS_580,21810,rio de janeiro,RJ,18,3155
CUS_581,4649,sao paulo,SP,25,3597
CUS_582,17209,jau,SP,25,1952
CUS_583,51021,recife,PE,15,3086
CUS_584,23059,rio de janeiro,RJ,18,3155
CUS_585,9415,ribeirao pires,SP,25,3131
CUS_586,55565,sao jose da coroa grande,PE,15,3524
CUS_587,22631,rio de janeiro,RJ,18,3155
CUS_588,29820,agua doce do norte,ES,7,40
CUS_589,9850,sao bernardo do campo,SP,25,3428
CUS_590,75083,anapolis,GO,8,165
CUS_591,16700,guararapes,SP,25,1518
CUS_592,25650,petropolis,RJ,18,2815
CUS_593,3122,sao paulo,SP,25,3597
CUS_594,8671,suzano,SP,25,3770
CUS_595,95170,farroupilha,RS,22,1314
CUS_596,9361,maua,SP,25,2282
CUS_597,23076,rio de janeiro,RJ,18,3155
CUS_598,12281,cacapava,SP,25,615
CUS_599,39900,almenara,MG,10,93
CUS_600,28893,rio das ostras,RJ,18,3152
CUS_601,94080,gravatai,RS,22,1474
CUS_602,51030,recife,PE,15,3086
CUS_603,46100,brumado,BA,4,582
CUS_604,5577,sao paulo,SP,25,3597
CUS_605,30380,belo horizonte,MG,10,453
CUS_606,8235,sao paulo,SP,25,3597
